"","SiteName","SampleName","SampleDate","BankfulDepth"
"1","08ISS3877","08ISS3877_18","2018-07-25 16:30:00.0000000",26.2795275590551
"2","08LAK2827","08LAK2827_18","2018-07-26 17:00:00.0000000",0.0580708661417323
"3","08ISS4735","08ISS4735_18","2018-07-27 16:15:00.0000000",10.3838582677165
"4","09BLA0772","09BLA0772_18","2018-07-30 16:18:00.0000000",10.6299212598425
"5","09BLA0771","09BLA0771_18","2018-07-30 18:37:00.0000000",12.2047244094488
"6","08EAS2540","08EAS2540_18","2018-07-31 15:30:00.0000000",6.49606299212598
"7","08CED2518","08CED2518_18","2018-08-01 16:00:00.0000000",15.255905511811
"8","08ISS4573","08ISS4573_18","2018-08-01 16:00:00.0000000",9.99015748031496
"9","08LAK3879","08LAK3879_18","2018-08-01 16:40:00.0000000",12.992125984252
"10","08ISS4748","08ISS4748_18","2018-08-01 18:26:00.0000000",19.3897637795276
"11","08CED2711","08CED2711_18","2018-08-01 18:45:00.0000000",15.3543307086614
"12","08ISS4294","08ISS4294_18","2018-08-01 20:24:00.0000000",16.9291338582677
"13","08CED2898","08CED2898_18","2018-08-01 21:30:00.0000000",12.5
"14","08ISS3962","08ISS3962_18","2018-08-01 21:43:00.0000000",0.287893700787402
"15","08WES1178","08WES1178_18","2018-08-02 16:43:00.0000000",4.7244094488189
"16","08WES0622","08WES0622_18","2018-08-02 16:50:00.0000000",16.4370078740157
"17","08WES0629","08WES0629_18","2018-08-02 19:30:00.0000000",22.6377952755906
"18","08WES0905","08WES0905_18","2018-08-02 20:52:00.0000000",12.8937007874016
"19","07LMS033235","07LMS033235_18","2018-08-06 18:45:00.0000000",31.5944881889764
"20","08BEA3826","08BEA3826_18","2018-08-06 18:45:00.0000000",20.4724409448819
"21","07LMS213875","07LMS213875_18","2018-08-06 20:56:00.0000000",54.4291338582677
"22","08BEA3914","08BEA3914_18","2018-08-06 21:30:00.0000000",14.6653543307087
"23","08LAK3540","08LAK3540_18","2018-08-07 16:30:00.0000000",8.66141732283465
"24","07HAR070087","07HAR070087_18","2018-08-07 16:45:00.0000000",0.093996062992126
"25","09BLA0722","09BLA0722_18","2018-08-07 17:39:00.0000000",13.1397637795276
"26","07STL080295","07STL080295_18","2018-08-07 19:55:00.0000000",50.0984251968504
"27","09BLA0675","09BLA0675_18","2018-08-07 20:20:00.0000000",18.6023622047244
"28","07RAG043443","07RAG043443_18","2018-08-08 16:30:00.0000000",36.6633858267717
"29","08SAM3045","08SAM3045_18","2018-08-08 17:00:00.0000000",7.18503937007874
"30","09BLA0817","09BLA0817_18","2018-08-08 17:00:00.0000000",0.158464566929134
"31","08SAM2862","08SAM2862_18","2018-08-08 19:00:00.0000000",11.3188976377953
"32","08LAK3699","08LAK3699_18","2018-08-08 19:35:00.0000000",18.6023622047244
"33","09BLA0716","09BLA0716_18","2018-08-09 16:09:00.0000000",12.0324803149606
"34","BSE_21_GolfCrs","BSE_21_GolfCrs_18","2018-08-09 17:00:00.0000000",19.5866141732283
"35","09LOW0753","09LOW0753_18","2018-08-09 19:32:00.0000000",9.74409448818898
"36","08EVA3637","08EVA3637_18","2018-08-13 15:32:00.0000000",6.2007874015748
"37","07LMS026663","07LMS026663_18","2018-08-13 15:38:00.0000000",54.2322834645669
"38","07LMS093027","07LMS093027_18","2018-08-13 19:36:00.0000000",52.4606299212598
"39","08EAS2631","08EAS2631_18","2018-08-14 15:21:00.0000000",14.6653543307087
"40","08EAS2446","08EAS2446_18","2018-08-14 15:50:00.0000000",17.5688976377953
"41","08EAS1964","08EAS1964_18","2018-08-14 18:27:00.0000000",21.0629921259843
"42","07GRN077319","07GRN077319_18","2018-08-14 18:30:00.0000000",21.9488188976378
"43","08LAK3121","08LAK3121_18","2018-08-14 20:00:00.0000000",13.7795275590551
"44","08EAS2058","08EAS2058_18","2018-08-14 21:00:00.0000000",19.8818897637795
"45","08WES0903","08WES0903_18","2018-08-14 21:20:00.0000000",25.9350393700787
"46","09DUW0225","09DUW0225_18","2018-08-15 15:56:00.0000000",12.5
"47","09NEW2102","09NEW2102_18","2018-08-15 16:45:00.0000000",19.5866141732283
"48","09LOW0325","09LOW0325_18","2018-08-15 18:10:00.0000000",6.39763779527559
"49","09BLA0768","09BLA0768_18","2018-08-15 21:05:00.0000000",13.5334645669291
"50","09SOO1134","09SOO1134_18","2018-08-16 17:00:00.0000000",27.9527559055118
"51","08SAM0000","08SAM0000_18","2018-08-17 16:12:00.0000000",14.9606299212598
"52","09DUW0277","09DUW0277_18","2018-08-20 20:00:00.0000000",12.992125984252
"53","09SOO1209","09SOO1209_18","2018-08-21 17:00:00.0000000",12.3031496062992
"54","09SOO1283","09SOO1283_18","2018-08-21 18:20:00.0000000",15.9448818897638
"55","09NEW2151","09NEW2151_18","2018-08-23 16:00:00.0000000",15.6496062992126
"56","09DEE2211","09DEE2211_18","2018-08-23 16:40:00.0000000",16.6338582677165
"57","09SOO1130","09SOO1130_18","2018-08-23 17:10:00.0000000",17.0275590551181
"58","09MID2426","09MID2426_18","2018-08-23 17:40:00.0000000",11.0236220472441
"59","09NEW1657","09NEW1657_18","2018-08-23 18:50:00.0000000",22.4409448818898
"60","09JEN1357","09JEN1357_18","2018-08-23 19:00:00.0000000",14.3044619422572
"61","09MID1817","09MID1817_18","2018-08-23 20:20:00.0000000",9.3503937007874
"62","09JEN1318","09JEN1318_18","2018-08-23 20:30:00.0000000",14.3700787401575
"63","BSE_1_MudMtnRd","BSE_1_MudMtnRd_18","2018-08-23 21:45:00.0000000",13.8287401574803
