"","Sample.Code","Site.Code","Visit.Date","Year","x50","DD","wtr_year"
"1","08BEA3312/06","08BEA3312",2006-09-13,"2006",5.05000000000001,975.700000000003,2006
"2","08BEA3312/08","08BEA3312",2008-08-14,"2008",12.15,606.150000000003,2008
"3","08BEA3312/09","08BEA3312",2009-08-06,"2009",6.30000000000001,712.500000000002,2009
"4","08BEA3312/09-R","08BEA3312",2009-08-06,"2009",6.30000000000001,712.500000000002,2009
"5","08BEA3312/10","08BEA3312",2010-08-25,"2010",10.35,693.850000000003,2010
"6","08BEA3312_11","08BEA3312",2011-08-15,"2011",7.60000000000002,520.750000000003,2011
"7","08BEA3312_12","08BEA3312",2012-08-14,"2012",11.75,657.450000000002,2012
"8","08BEA3312_13","08BEA3312",2013-08-21,"2013",8.45000000000005,874.350000000003,2013
"9","08BEA3312_14","08BEA3312",2014-08-06,"2014",9.75,724.550000000003,2014
"10","08BEA3312_15","08BEA3312",2015-09-14,"2015",3.25,1229,2015
"11","08BEA3312_16","08BEA3312",2016-08-22,"2016",5.70000000000005,876.500000000003,2016
"12","08BEA3312_17","08BEA3312",2017-08-23,"2017",8.64999999999998,782.350000000002,2017
"13","08BEA3312_18","08BEA3312",2018-08-28,"2018",8.60000000000002,908.700000000003,2018
"14","08BEA3312_19","08BEA3312",2019-07-16,"2019",10.9,482.800000000002,2019
"15","08BEA3312_2002","08BEA3312",2002-09-11,"2002",8.5,854.450000000003,2002
"16","08BEA3312_2003","08BEA3312",2003-08-07,"2003",8.5,695.500000000003,2003
"17","08BEA3312_2007","08BEA3312",2007-08-28,"2007",6.5,813.900000000003,2007
"18","08BEA3321/05","08BEA3321",2005-08-09,"2005",9,684.950000000002,2005
"19","08BEA3321_14","08BEA3321",2014-08-06,"2014",8.80000000000001,639.150000000002,2014
"20","08BEA3321_16","08BEA3321",2016-08-09,"2016",6.90000000000003,689.650000000003,2016
"21","08BEA3321_17","08BEA3321",2017-08-21,"2017",9.15000000000003,711.550000000002,2017
"22","08BEA3321_18","08BEA3321",2018-09-19,"2018",2.80000000000001,959.100000000004,2018
"23","08BEA3321_19","08BEA3321",2019-10-01,"2019",0,987.200000000003,2020
"24","08BEA3321_20","08BEA3321",2020-09-21,"2020",5.15000000000003,899.000000000004,2020
"25","08BEA3321_2007","08BEA3321",2007-08-16,"2007",7.30000000000007,646.000000000003,2007
"26","08BEA3321_21","08BEA3321",2021-09-22,"2021",4.35000000000002,979.950000000004,2021
"27","08BEA3474/10","08BEA3474",2010-08-25,"2010",10.35,693.850000000003,2010
"28","08BEA3474_11","08BEA3474",2011-09-07,"2011",8.80000000000001,711.650000000003,2011
"29","08BEA3474_12","08BEA3474",2012-09-06,"2012",8.80000000000007,838.200000000003,2012
"30","08BEA3474_13","08BEA3474",2013-09-12,"2013",12.85,1087.5,2013
"31","08BEA3474_14","08BEA3474",2014-08-06,"2014",9.75,724.550000000003,2014
"32","08BEA3474_15","08BEA3474",2015-09-08,"2015",7.85000000000002,1181.9,2015
"33","08BEA3474_16","08BEA3474",2016-08-02,"2016",7.35000000000002,694.850000000003,2016
