"","taxon","rkt.pval","rkt.Sen","rkt.tau","RKTtrend","samples","sum.taxon"
"144","Goeracea","0.584104814766201","0","0.000988700564971751","none","11","11.0893079165505"
"145","Goera","0.154728923485379","0","-0.000706214689265537","none","1","0.333333333333333"
"146","Gnorimosphaeroma","0.154728923485379","0","-0.000706214689265537","none","1","1.57894736842105"
"147","Glutops","0.947101025001362","0","0.000706214689265537","none","349","493.781828047355"
"148","Glossosomatidae","2.26949103954155e-09","0","0.0370056497175141","positive","95","193.097299944329"
"149","Glossosoma","0.000185854620718295","0","-0.0589689265536723","negative","1273","26240.9878518101"
"150","Glossiphoniidae","0.583597709646719","0","0.00169491525423729","none","25","35.8330117949683"
"151","Gastropoda","0.918707405428289","0","0.000141242937853107","none","1","1.875"
"152","Gammarus","8.42784293464405e-08","0","-0.0121468926553672","negative","13","119.479987848409"
"153","Forcipomyiinae","0.751974043898998","0","0.00233050847457627","none","146","148.948943086626"
"154","Farula","0.133452480258165","0","0.00218926553672316","none","9","38.3099968016194"
"155","Erpobdella","0.401532434092782","0","0.00282485875706215","none","33","52.2994875494875"
"156","Erioptera","0.242952507316631","0","0.00162429378531073","none","5","1.87766175266175"
"157","Epiphragma","0.772058969750735","0","0.000211864406779661","none","1","0.125"
"158","Ephydridae","0.927093874317342","0","0.000353107344632768","none","24","20.6804265080761"
"159","Ephemerellidae","0.0739478571054124","0","-0.00911016949152542","none","55","130.119784767062"
"160","Ephemerella.tibialis","8.6790574727047e-12","0","-0.0686440677966102","negative","349","1206.07760745242"
"161","Ephemerella.excrucians.group","3.71507670893223e-06","0","0.0466101694915254","positive","285","2575.70718628343"
"162","Ephemerella.aurivillii","0.675685937062587","0","-0.000635593220338983","none","5","10.9992588932806"
"163","Epeorus","0.433951612166959","0","0.00677966101694915","none","269","1244.36956259075"
"164","Eocosmoecus","1","0","0","none","0","0"
"165","Empididae.Genus.A","0.429195300440349","0","0.000423728813559322","none","1","0.75"
"166","Empididae","0.201012870756321","0","-0.0077683615819209","none","89","102.117762442344"
"167","Ecclisomyia","0.00449214772411022","0","-0.00967514124293785","negative","32","40.1677398936466"
"168","Ecclisocosmoecus","0.120690800527445","0","-0.00127118644067797","none","1","0.769230769230769"
"169","Dytiscidae","0.0902135279247689","0","-0.0127824858757062","none","165","395.192779716446"
"170","Drunella.pelosa","0.474958539889507","0","0.000564971751412429","none","1","1.875"
"171","Drunella.grandis.group","0.552825357274427","0","-0.00367231638418079","none","140","223.732452362701"
"172","Drunella.flavilinea_coloradensis","0.573812814604056","0","-0.00218926553672316","none","41","37.3786467370349"
"173","Drunella.doddsii","0.358849243316391","0","-0.00833333333333333","none","380","3327.3379942921"
"174","Doroneuria","0.00136325402809567","0","-0.0197033898305085","negative","142","732.063182452999"
"175","Dolophilodes","0.2640229651466","0","0.00466101694915254","none","52","119.088323988598"
"176","Dolichopodidae","0.198670001962376","0","0.00388418079096045","none","22","15.0680152426076"
"177","Dixidae","0.289746901539991","0","0.00218926553672316","none","9","6.02655677655678"
"178","Dixella","0.0869651242239857","0","-0.0048728813559322","none","20","35.9522028216881"
"179","Dixa","0.0827940442485011","0","0.0242937853107345","none","798","1799.60018697184"
"180","Diphetor.hageni","1.85090853754843e-09","0","-0.0864406779661017","negative","917","6238.45768137786"
