"TNAME"	"SUBKINGDOM"	"INFRAKINGDOM"	"SUPERPHYLUM"	"PHYLUM"	"SUBPHYLUM"	"INFRAPHYLUM"	"SUPERCLASS"	"CLASS"	"SUBCLASS"	"INFRACLASS"	"SUPERORDER"	"ORDER"	"SUBORDER"	"INFRAORDER"	"SUPERFAMILY"	"FAMILY"	"SUBFAMILY"	"TRIBE"	"SUBTRIBE"	"GENUS"	"SPECIES"	"NUMOCC"	"otufin"	"otufin2"
"ISOPODA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"ISOPODA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	"PERACARIDA"	NA
"COPEPODA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MAXILLOPODA"	"COPEPODA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88	"CRUSTACEA"	NA
"OSTRACODA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"OSTRACODA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	185	"OSTRACODA"	"OSTRACODA"
"DYTISCIDAE"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"DYTISCIDAE"	NA	NA	NA	NA	NA	207	"DYTISCIDAE"	"DYTISCIDAE"
"GYRINIDAE"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"GYRINIDAE"	NA	NA	NA	NA	NA	1	"ADEPHAGA"	NA
"BRYCHIUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"HALIPLIDAE"	NA	NA	NA	"BRYCHIUS"	NA	29	"ADEPHAGA"	NA
"HALIPLUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"HALIPLIDAE"	NA	NA	NA	"HALIPLUS"	NA	5	"ADEPHAGA"	NA
"PELTODYTES"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"HALIPLIDAE"	NA	NA	NA	"PELTODYTES"	NA	2	"ADEPHAGA"	NA
"HALIPLIDAE"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"HALIPLIDAE"	NA	NA	NA	NA	NA	4	"ADEPHAGA"	NA
"AMPUMIXIS.DISPAR"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"AMPUMIXIS"	"AMPUMIXIS.DISPAR"	3	"ELMIDAE"	NA
"CLEPTELMIS.ADDENDA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"CLEPTELMIS"	"CLEPTELMIS.ADDENDA"	571	"CLEPTELMIS.ADDENDA"	"CLEPTELMIS.ADDENDA"
"HETERLIMNIUS.CORPULENTUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"HETERLIMNIUS"	"HETERLIMNIUS.CORPULENTUS"	1209	"HETERLIMNIUS"	"HETERLIMNIUS"
"LARA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"LARA"	NA	1068	"ELMIDAE"	NA
"NARPUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"NARPUS"	NA	1475	"NARPUS"	"NARPUS"
"OPTIOSERVUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"OPTIOSERVUS"	NA	1289	"OPTIOSERVUS"	"OPTIOSERVUS"
"ZAITZEVIA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"ZAITZEVIA"	NA	632	"ZAITZEVIA"	"ZAITZEVIA"
"ELMIDAE"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	NA	NA	618	"ELMIDAE"	NA
