"","SiteName","SampleName","SampleDate","WettedWidth","BankfulWidth","expr1"
"58","07TKL072439","07TKL072439_17",2017-08-09 09:15:00,6.46666666666667,16.3666666666667,0.395112016293279
"59","08ISS4730","08ISS4730_17",2017-08-09 10:00:00,15.8666666666667,28,0.566666666666667
"60","08CED4192","08CED4192_17",2017-08-10 09:44:59,13.5,22.3333333333333,0.604477611940299
"61","08NOR1750","08NOR1750_17",2017-08-10 10:45:00,10.6333333333333,25.6333333333333,0.4148244473342
"62","08CED2898","08CED2898_17",2017-08-10 12:15:00,3.9,13.7,0.284671532846715
"63","08NOR1756","08NOR1756_17",2017-08-10 12:44:59,12.175,35.375,0.344169611307421
"64","07STL080295","07STL080295_17",2017-08-10 14:00:00,85,106,0.80188679245283
"65","08CED2518","08CED2518_17",2017-08-10 14:00:00,9,17,0.529411764705882
"66","08EAS2546","08EAS2546_17",2017-08-14 10:00:00,3,7,0.428571428571429
"67","07LMS026663","07LMS026663_17",2017-08-14 10:15:00,137.7,222,0.62027027027027
"68","08EAS2272","08EAS2272_17",2017-08-14 12:15:00,11.5,16.75,0.686567164179104
"69","07TKL047047","07TKL047047_17",2017-08-14 13:15:00,23,35,0.657142857142857
"70","07LMS033235","07LMS033235_17",2017-08-14 14:14:59,19,32,0.59375
"71","07PAT231079","07PAT231079_17",2017-08-15 08:59:59,8.5,14.25,0.596491228070175
"72","08ISS3958","08ISS3958_17",2017-08-15 09:44:59,3.3,13,0.253846153846154
"73","08LAK3699","08LAK3699_17",2017-08-15 11:59:59,15.65,22.75,0.687912087912088
"74","08EAS2446","08EAS2446_17",2017-08-15 12:44:59,12.7,32.475,0.391070053887606
"75","08LAK3879","08LAK3879_17",2017-08-15 13:45:00,11.3,11.75,0.961702127659575
"76","09DEE2163","09DEE2163_17",2017-08-16 09:30:00,12,14.42,0.832177531206657
"77","09MID2426","09MID2426_17",2017-08-16 09:30:00,5.4,15.575,0.346709470304976
"78","09MID1817","09MID1817_17",2017-08-16 11:59:59,12.2333333333333,23.3333333333333,0.524285714285714
"79","09DEE2294","09DEE2294_17",2017-08-16 12:44:59,20.5,33,0.621212121212121
"80","07LNT130827","07LNT130827_17",2017-08-16 13:00:00,63.5,281.25,0.225777777777778
"81","09LOW0751","09LOW0751_17",2017-08-17 01:15:00,5.5,16.75,0.328358208955224
"82","07HAR025863","07HAR025863_17",2017-08-17 09:30:00,8.03333333333333,11.0333333333333,0.72809667673716
"83","09COV1418","09COV1418_17",2017-08-17 10:15:00,25.25,41,0.615853658536585
"84","09DEE2211","09DEE2211_17",2017-08-18 09:30:00,7.56666666666667,15.5666666666667,0.486081370449679
"85","08NOR2306","08NOR2306_17",2017-08-20 23:59:59,23,37.25,0.61744966442953
"86","08NOR2115","08NOR2115_17",2017-08-21 08:14:59,30,34.15,0.878477306002928
"87","08EAS1536","08EAS1536_17",2017-08-21 08:59:59,6.25,12.25,0.510204081632653
"88","08EAS2191","08EAS2191_17",2017-08-21 11:45:00,6.55,8.5,0.770588235294118
"89","08BEA3321","08BEA3321_17",2017-08-21 13:29:59,18,21,0.857142857142857
"90","08SAM0000","08SAM0000_17",2017-08-21 13:45:00,4.25,11.5,0.369565217391304
"91","07RAG022147","07RAG022147_17",2017-08-22 08:59:59,10.4,15.675,0.66347687400319
"92","07CHR070059","07CHR070059_17",2017-08-22 09:30:00,12,19.5,0.615384615384615
"93","08BEA3826","08BEA3826_17",2017-08-22 09:30:00,5.5,12.25,0.448979591836735
"94","07RAG042787","07RAG042787_17",2017-08-22 11:14:59,15.3333333333333,75,0.204444444444444
"95","07CHR045515","07CHR045515_17",2017-08-22 11:59:59,19.875,38.9,0.510925449871465
"96","08BEA3914","08BEA3914_17",2017-08-22 13:00:00,13.825,15.725,0.879173290937997
"97","07STL184007","07STL184007_17",2017-08-23 08:59:59,109.8,123.3,0.89051094890511
"98","09BLA0675","09BLA0675_17",2017-08-23 09:15:00,7.4,49,0.151020408163265
"99","08BEA3312","08BEA3312_17",2017-08-23 10:29:59,5.5,17.4333333333333,0.315487571701721
"100","07SFS011059","07SFS011059_17",2017-08-23 11:14:59,64.8,107.7,0.6016713091922
"101","09BLA0716","09BLA0716_17",2017-08-23 11:14:59,9.5,12.5,0.76
"102","08EVA3813","08EVA3813_17",2017-08-23 11:45:00,6.03333333333333,9,0.67037037037037
"103","08SAM3045","08SAM3045_17",2017-08-23 13:00:00,6.5,16.5,0.393939393939394
"104","07SFS041891","07SFS041891_17",2017-08-23 13:29:59,84,97.2,0.864197530864197
"105","09BLA0756","09BLA0756_17",2017-08-23 13:45:00,24,39.55,0.606826801517067
"106","08SAM2862","08SAM2862_17",2017-08-24 09:15:00,7.7,20.075,0.383561643835616
"107","07SFS066611","07SFS066611_17",2017-08-24 10:15:00,8,10.5,0.761904761904762
"108","09MID1537","09MID1537_17",2017-08-24 11:30:00,1.6,3.7,0.432432432432432
"109","07SFS011475","07SFS011475_17",2017-08-24 11:45:00,86.1,246,0.35
"110","08SAM2865","08SAM2865_17",2017-08-24 11:59:59,6,15,0.4
"111","09MID1374","09MID1374_17",2017-08-24 13:29:59,8.275,13.425,0.616387337057728
"112","07RAG018227","07RAG018227_17",2017-08-24 14:30:00,22.2333333333333,35.6666666666667,0.623364485981308
"113","MA01","MA01_17",2017-08-28 00:44:59,5.5,NA,NA
"114","08CED2433","08CED2433_17",2017-08-28 08:30:00,6.96666666666667,11.0666666666667,0.629518072289157
"115","09LOW0753","09LOW0753_17",2017-08-28 09:30:00,5,12,0.416666666666667
"116","08LAK3540","08LAK3540_17",2017-08-28 11:45:00,4.7,12.725,0.369351669941061
"117","09LOW0325","09LOW0325_17",2017-08-28 12:15:00,7.175,13.475,0.532467532467532
"118","09BLA0817","09BLA0817_17",2017-08-28 14:30:00,9.625,17.625,0.546099290780142
"119","09BLA0772","09BLA0772_17",2017-08-29 09:15:00,3.33333333333333,15.1333333333333,0.220264317180617
"120","09DEE2208","09DEE2208_17",2017-08-29 09:15:00,18.5,44.875,0.412256267409471
"121","TAMA_MOUTH","TAMA_MOUTH_17",2017-08-29 11:30:00,5,NA,NA
"122","09NEW2076","09NEW2076_17",2017-08-29 11:59:59,6.36666666666667,13,0.48974358974359
"123","NFCC","NFCC_17",2017-08-30 08:59:59,11.5533333333333,NA,NA
"124","BSE_21_GolfCrs","BSE_21_GolfCrs_17",2017-08-30 09:15:00,31.8,34.3,0.927113702623907
"125","BSE_1_MudMtnRd","BSE_1_MudMtnRd_17",2017-08-30 11:14:59,27.3333333333333,47.1666666666667,0.579505300353357
"126","TNMA7673","TNMA7673_17",2017-08-30 12:15:00,9,NA,NA
"127","TSMA6612","TSMA6612_17",2017-08-30 13:29:59,10.415,NA,NA
"128","BSE_8_268hAveSE","BSE_8_268hAveSE_17",2017-08-30 13:45:00,24,52,0.461538461538462
"129","09DUW0225","09DUW0225_17",2017-08-31 13:00:00,2.83333333333333,10.1333333333333,0.279605263157895
"130","09DUW0277","09DUW0277_17",2017-08-31 14:30:00,4.7,6.9,0.681159420289855
"131","07LMS093027","07LMS093027_17",2017-09-05 09:15:00,200,225,0.888888888888889
"132","PI01","PI01_17",2017-09-05 09:15:00,10.2333333333333,NA,NA
"133","PIMA6462","PIMA6462_17",2017-09-05 10:29:59,9.2,NA,NA
"134","09DUW0091","09DUW0091_17",2017-09-05 14:14:59,7.7,11.9666666666667,0.643454038997215
"135","KNKT-D","KNKT-D_17",2017-09-07 01:29:59,11.4333333333333,NA,NA
"136","09NEW1657","09NEW1657_17",2017-09-07 09:30:00,36.6666666666667,46,0.797101449275362
"137","08EVA3640","08EVA3640_17",2017-09-07 10:00:00,7.525,17.725,0.424541607898449
"138","08EVA3642","08EVA3642_17",2017-09-07 11:59:59,4.83333333333333,11.2666666666667,0.428994082840237
"139","VENE","VENE_17",2017-09-07 14:14:59,4.2,NA,NA
"140","KNKT-U","KNKT-U_17",2017-09-07 14:59:59,11.0333333333333,NA,NA
"141","PIVE1895","PIVE1895_17",2017-09-07 15:30:00,5.33333333333333,NA,NA
"142","SFCT","SFCT_17",2017-09-08 10:29:59,11,NA,NA
"143","NFCT","NFCT_17",2017-09-08 11:00:00,9.5,NA,NA
"144","07GRN077319","07GRN077319_17",2017-09-08 13:15:00,24.65,38.1,0.646981627296588
"145","07GRN022903","07GRN022903_17",2017-09-11 11:30:00,12.05,27,0.446296296296296
"146","07SFS009443","07SFS009443_17",2017-09-11 13:45:00,91,98,0.928571428571429
"147","09MID1744","09MID1744_17",2017-09-12 09:30:00,13.875,17.6,0.788352272727273
"148","07LMS103591","07LMS103591_17",2017-09-12 10:00:00,13.7,22.25,0.615730337078652
"149","09BLA0722","09BLA0722_17",2017-09-12 10:29:59,7.875,16,0.4921875
"150","07LMS213875","07LMS213875_17",2017-09-12 11:45:00,210,222,0.945945945945946
"151","08WES1579","08WES1579_17",2017-09-12 12:44:59,2.75,18.875,0.145695364238411
"152","07LMS055075","07LMS055075_17",2017-09-12 13:00:00,7.5,12.625,0.594059405940594
"153","Miller_Cove","Miller_Cove_17",2017-09-13 09:15:00,14.4,22.1,0.65158371040724
"154","WalkerPreserve","WalkerPreserve_17",2017-09-13 11:30:00,9,15,0.6
"155","Miller_SWSSD","Miller_SWSSD_17",2017-09-13 13:00:00,11.175,23.125,0.483243243243243
"156","08SAM1914","08SAM1914_17",2017-09-14 08:45:00,5.16666666666667,11.4666666666667,0.450581395348837
"157","PIMA7729","PIMA7729_17",2017-09-14 11:30:00,9.33333333333333,NA,NA
"158","PI02","PI02_17",2017-09-14 12:44:59,4.66666666666667,NA,NA
"159","KNKC","KNKC_17",2017-09-14 14:30:00,16,NA,NA
"160","08WES1037","08WES1037_17",2017-09-17 23:59:59,6,6.75,0.888888888888889
"161","08BEA3737","08BEA3737_17",2017-09-18 00:44:59,4.4,14.375,0.306086956521739
"162","08SAM2674","08SAM2674_17",2017-09-18 09:15:00,3.6,15,0.24
"163","TMMA3168","TMMA3168_17",2017-09-18 09:15:00,16,NA,NA
"164","08WES1340","08WES1340_17",2017-09-18 09:44:59,8,22.5,0.355555555555556
"165","TMMA1199","TMMA1199_17",2017-09-18 10:45:00,12.8,NA,NA
"166","08BEA3650","08BEA3650_17",2017-09-18 11:00:00,30,32.5,0.923076923076923
"167","SFCC","SFCC_17",2017-09-20 13:00:00,14,NA,NA
"168","VashChris","VashChris_17",2017-09-20 14:59:59,5,11.75,0.425531914893617
"169","TSMA7774","TSMA7774_17",2017-09-20 22:29:59,12.5,NA,NA
"170","08LIT2603","08LIT2603_17",2017-09-20 23:59:59,6.56666666666667,10.1666666666667,0.645901639344262
"171","08CED2711","08CED2711_17",2017-09-21 10:15:00,6.26666666666667,16.6666666666667,0.376
"172","08LIT2602","08LIT2602_17",2017-09-21 11:14:59,11,13,0.846153846153846
