"","Site.Code","mean_Overall.Score","SD_overallscore","SE_overallscore","len","MK_trend","Avg_MKSlope_Overall.Score","Avg_MKtau_Overall.Score","Avg_MKpval_Overall.Score","sites","min","max","med"
"1","08BEA3312",57.3563988988088,8.92597994346158,2.23149498586539,16,"none",-0.750604447545371,-0.266666666666667,0.162805449743693,1,41.765171878625,72.3886608907129,57.5564868338196
"2","08BEA3474",35.9547362612696,11.8415411024945,2.87199557268694,17,"positive",1.4299750617868,0.411764705882353,0.0234762206100809,1,16.062015503876,55.1392400289369,38.90676588873
"3","08BEA3478",61.9143967562545,9.71503986953244,2.80449044193125,12,"none",-0.726295372176704,-0.242424242424242,0.303673214899419,1,42.3045098496355,71.546837339587,64.9302081297635
"4","08BEA3571",36.6716099207714,7.86851657535895,1.85462714277169,18,"none",0.0383843357824496,0.0326797385620915,0.879572789007499,1,14.4513121037889,49.3451658101021,38.2586203596085
"5","08BEA3650",64.2980824248644,8.69613046623238,2.04969760758528,18,"positive",0.75590246706598,0.372549019607843,0.0339090759496075,1,49.4773250385425,75.1763020181553,67.2066394897413
"6","08BEA3737",69.6867865612631,9.22569058104505,2.17451612366194,18,"positive",1.08164729920255,0.437908496732026,0.0124218457338865,1,53.6291523953523,87.7631750374568,69.281634318354
"7","08BEA3747",50.4393001773279,9.19616230521866,2.10974432404454,19,"none",-0.0512929510009294,-0.0526315789473684,0.779566064581155,1,32.5572866845637,64.5702462951725,52.9355819439159
"8","08BEA3826",72.9453836386116,7.7479498092967,1.87915384974791,17,"none",0.0855716070938121,0.0588235294117647,0.773080066312313,1,60.6587647298822,87.453381801517,70.828005661669
"9","08CED2433",40.726032522097,9.88652183794507,2.47163045948627,16,"none",0.159548769785887,0.05,0.821891691251159,1,24.9957666052957,59.1764324456833,41.4636550050457
"10","08CED2711",25.0064310914084,13.7379789782559,4.14215651351498,11,"none",0.141213290461741,0.0909090909090909,0.755496874928883,1,13.078197945845,55.7769552129297,20.5717234262126
"11","08CED2898",45.8198249652098,5.79099473050451,1.67171618326624,12,"positive",0.945629637343855,0.666666666666667,0.00319196635354878,1,36.593952962662,52.5806190693332,47.671696483571
"12","08CED4192",88.1499721460875,6.83581851564105,1.56824432137176,19,"positive",0.635012919896596,0.391812865497076,0.0209409336737407,1,68.3566114328228,96.6528239202658,90.0572166851237
"13","08CED4975",80.9788179496762,10.879824165802,3.01752029983319,13,"none",1.50370668803356,0.41025641025641,0.0585875753104889,1,57.5845433236534,97.234802121583,81.4568220597092
"14","08CED5032",85.0880655811896,10.188508227948,2.47107621125318,17,"none",0.745286787705683,0.25,0.174033580208164,1,67.09413838975,99.6382428940568,86.5354131452663
"15","08CED5046",93.2841749170769,10.4653447614738,3.02108480759956,12,"none",0.0332063236351274,0.0454545454545455,0.890660347958231,1,61.5591466696838,99.9483204134367,95.6417898656811
"16","08EAS1536",34.227629950389,13.4543844048627,3.47390711556707,15,"none",0.544191860750825,0.142857142857143,0.488422316622593,1,6.94269102990033,51.4171506627947,40.0688843060684
"17","08EAS1964",50.6060170447208,11.9254782923574,2.98136957308936,16,"none",0.370431288173072,0.15,0.444043639662887,1,27.8660819284874,72.421298058187,48.4718209397182
"18","08EAS2058",54.0174770655406,11.3893871813041,2.84734679532602,16,"none",0.390137884391431,0.166666666666667,0.392314347285355,1,34.1541347669219,73.984696693855,53.110478973311
"19","08EAS2191",11.0864818870923,4.40315239025408,1.01015243695406,19,"none",0.225925764022475,0.157894736842105,0.363020384944015,1,2.48800295311923,18.1378966111128,11.1058314390628
"20","08EAS2272",14.4798472247143,10.7363615961581,2.53058469663808,18,"positive",1.84142526859785,0.751633986928105,1.57408135947912e-05,1,0,33.2724926772014,12.0835397602534
"21","08EAS2446",34.8604901517931,10.9425471434211,2.73563678585529,16,"none",1.16331791794645,0.35,0.0649033586094432,1,13.3301359303411,56.5436562221788,31.6922231765003
"22","08EAS2540",34.5744456641749,11.5230002370888,3.47431529505453,11,"positive",2.32994743184911,0.563636363636364,0.0195174811821778,1,19.9901469359674,49.3848069215446,30.874981571576
"23","08EAS2546",4.22220515742368,3.95967903037199,1.19388814854383,11,"none",0.233918128654971,0.254545454545455,0.310044123876524,1,0,13.5839793281654,4.13951545530493
"24","08EAS2631",58.4387710533236,13.7975415745755,3.25211173702855,18,"none",0.47259107641425,0.0849673202614379,0.649445669217466,1,32.3611602535751,77.4592588973574,59.9737782097744
"25","08EVA3555",38.4656509652685,17.3161155763185,4.99873199465307,12,"none",-1.31992638344607,-0.272727272727273,0.243722284772174,1,4.87394957983193,58.3298536468851,40.5428750855707
"26","08EVA3637",40.5496802692245,17.0383124718348,4.9185371460754,12,"none",2.12011508615723,0.424242424242424,0.0641035767124359,1,8.98829180795125,66.7127241553496,37.4050743308339
"27","08EVA3642",63.8545308923243,10.1914916339826,3.22283263179361,10,"positive",1.77700560538372,0.688888888888889,0.00729035809153564,1,44.3016293012513,79.1388671747769,64.5921649055379
"28","08EVA3813",62.1138099085683,11.3253513266039,2.92419313852566,15,"positive",1.17749253720256,0.580952380952381,0.00298547089126881,1,33.9881532376312,76.7799030464899,66.0984709265183
"29","08ISS3877",62.7044659777176,15.9560263114202,3.86990481453647,17,"none",1.18412435523645,0.352941176470588,0.0528611484384968,1,29.7647407392169,82.3996473742496,67.2624487575528
"30","08ISS3958",69.404838034023,10.2180865208148,3.0808690059028,11,"none",-0.313755680430756,-0.0909090909090909,0.755496874928883,1,45.8375875850136,81.9963223151358,68.5880561526936
