"","taxon","mk.tau","mk.Sen","mk.pval","mk.inter","mk.trend","samples","sum.taxon"
"214","Baetis.alius.group",0.0994152046783626,0,0.288962063602219,0,"none",2,3.912050256996
"215","Baetis",0.0760233918128655,0,0.504765830835893,0,"none",3,8.43014960662019
"216","Austrolimnophila",0.0584795321637427,0,0.411313791776259,0,"none",1,0.970873786407767
"217","Attenella",-0.385964912280702,-0.255102040816327,0.0226562285409455,527.551020408164,"negative",19,261.24158176897
"218","Atherix",0.105263157894737,0,0.120690800527446,0,"none",1,0.980392156862745
"219","Arctopsyche",-0.0233918128654971,-0.00562208354416144,0.916359140273489,16.7464146995485,"none",19,93.8698705876562
"220","Apataniidae",0.087719298245614,0,0.353484786087433,0,"none",2,1.91100191100191
"221","Apatania",0.16374269005848,0.0921658986175115,0.344562365325698,-182.46749098873,"none",19,61.9751381144992
"222","Antocha.monticola",0.263157894736842,0.365820365820366,0.123715178751739,-712.501164265871,"none",19,444.223860097965
"223","Anisoptera",0.0760233918128655,0,0.426438439415802,0,"none",2,1.94193061840121
"224","Ancylidae",-0.0994152046783626,-0.108932461873638,0.575168746919118,227.825959443606,"none",19,161.970093241498
"225","Anagapetus",-0.0116959064327485,0,0.970353678645373,0.970873786407767,"none",10,15.405848646613
"226","Anafroptilum",0.146198830409357,0.0538417405887285,0.398005215689874,-107.254313247318,"none",15,26.8625923272708
"227","Ampumixis.dispar",0.0292397660818713,0,0.790932173832904,0,"none",2,2.06734867860188
"228","Amphipoda",0.350877192982456,0.154320987654321,0.0337924010882631,-308.552079587678,"positive",12,40.2736405472536
"229","Amiocentrus",0.485380116959064,0.0647249190938511,0.00310652522135349,-129.300611290903,"positive",12,16.6470760277361
"230","Americorophium",-0.0701754385964912,0,0.315302452081746,0,"none",1,1.0752688172043
"231","Ameletus",-0.0526315789473684,-0.0162919517758227,0.779302756589424,35.5571847507331,"none",17,52.4115417066426
"232","Allocosmoecus",0.0994152046783626,0,0.373816893785131,0,"none",3,8.01385383467512
"233","Agapetus",-0.0760233918128655,-0.0100258164774294,0.673732420306314,22.1327270663134,"none",16,36.8280977990846
"234","Afghanurus",0.327485380116959,0.112612612612613,0.0529054390731812,-225.501307759372,"none",15,29.5433171952331
"235","Acentrella",0.0818713450292398,0.0393427023861806,0.649043752926291,-69.4800978461567,"none",19,181.155040551925
"236","Acari",0.526315789473684,0.511316640348899,0.00183556662613979,-935.631825480024,"positive",19,1769.6258305562
