"","Sample.Code","Site.Code","Visit.Date","Year","x32","DD","wtr_year"
"150","08BEA3826_19","08BEA3826",2019-08-06,"2019",20.05,2353.75,2019
"151","08BEA3826_20","08BEA3826",2020-08-20,"2020",21.35,2615.15000000001,2020
"152","08BEA3826_2002","08BEA3826",2002-08-08,"2002",17.8,2238.00000000001,2002
"153","08BEA3826_2007","08BEA3826",2007-08-02,"2007",20.1,2287.75000000001,2007
"154","08BEA3826_21","08BEA3826",2021-09-02,"2021",16.05,2898.80000000001,2021
"155","08CED2433/06","08CED2433",2006-08-29,"2006",15.35,2987.75000000001,2006
"156","08CED2433/08","08CED2433",2008-08-18,"2008",20.25,2512.30000000001,2008
"157","08CED2433/09","08CED2433",2009-08-17,"2009",20.1,2604.95,2009
"158","08CED2433/10","08CED2433",2010-08-18,"2010",18,2741.05,2010
"159","08CED2433_11","08CED2433",2011-08-18,"2011",16.5500000000001,2372.00000000001,2011
"160","08CED2433_12","08CED2433",2012-08-29,"2012",16,2742.40000000001,2012
"161","08CED2433_13","08CED2433",2013-09-03,"2013",18.15,3092.15000000001,2013
"162","08CED2433_13_Rep","08CED2433",2013-09-03,"2013",18.15,3092.15000000001,2013
"163","08CED2433_14","08CED2433",2014-08-26,"2014",22.85,3053.35,2014
"164","08CED2433_15","08CED2433",2015-08-26,"2015",20.25,3337.60000000001,2015
"165","08CED2433_16","08CED2433",2016-07-27,"2016",21.15,2635.3,2016
"166","08CED2433_17","08CED2433",2017-08-28,"2017",23.3,2913.45000000001,2017
"167","08CED2433_18","08CED2433",2018-08-29,"2018",19.1,3127.45000000001,2018
"168","08CED2433_19","08CED2433",2019-09-23,"2019",14.85,3461.95000000001,2019
"169","08CED2433_20","08CED2433",2020-08-17,"2020",23.95,2764.5,2020
"170","08CED2433_2003","08CED2433",2003-08-11,"2003",17.65,2698.35,2003
"171","08CED2433_21","08CED2433",2021-09-14,"2021",15.6,3383.65000000001,2021
"172","08CED2518/09","08CED2518",2009-08-11,"2009",18.65,2437.00000000001,2009
"173","08CED2518_12","08CED2518",2012-08-27,"2012",16.9,2615.85000000001,2012
"174","08CED2518_13","08CED2518",2013-08-08,"2013",21.15,2487.20000000001,2013
"175","08CED2518_15","08CED2518",2015-08-13,"2015",21.95,3028.20000000001,2015
"176","08CED2518_16","08CED2518",2016-07-27,"2016",20.75,2556.75,2016
"177","08CED2518_19","08CED2518",2019-08-01,"2019",22.0500000000001,2389,2019
"178","08CED2518_20","08CED2518",2020-08-05,"2020",20.5,2458.1,2020
"179","08CED2518_21","08CED2518",2021-09-14,"2021",15.65,3332.55000000001,2021
"180","08CED2711/05","08CED2711",2005-08-18,"2005",19.45,2685.15000000001,2005
"181","08CED2711/06","08CED2711",2006-08-28,"2006",20,2831.75000000001,2006
"182","08CED2711_11","08CED2711",2011-08-18,"2011",15.75,2232.75000000001,2011
"183","08CED2711_12","08CED2711",2012-08-29,"2012",15.3000000000001,2597.30000000001,2012
"184","08CED2711_13","08CED2711",2013-07-09,"2013",20.95,1860.2,2013
"185","08CED2711_14","08CED2711",2014-08-07,"2014",19.1,2533.15000000001,2014
"186","08CED2711_15","08CED2711",2015-08-13,"2015",21.8000000000001,2966.6,2015
"187","08CED2711_17_R","08CED2711",2017-09-21,"2017",12.65,3205.30000000001,2017
"188","08CED2711_18","08CED2711",2018-08-01,"2018",19.1,2440.55,2018
"189","08CED2711_20","08CED2711",2020-08-11,"2020",17.75,2509.85000000001,2020
"190","08CED2711_2003","08CED2711",2003-08-11,"2003",16.85,2558.45,2003
"191","08CED2898/05","08CED2898",2005-08-08,"2005",20.15,2494.70000000001,2005
"192","08CED2898/09","08CED2898",2009-08-11,"2009",18.3000000000001,2377.95000000001,2009
"193","08CED2898/10","08CED2898",2010-08-18,"2010",17.35,2595.55000000001,2010
"194","08CED2898_12","08CED2898",2012-08-27,"2012",16.65,2566.55000000001,2012
"195","08CED2898_13","08CED2898",2013-08-13,"2013",18.8000000000001,2538.7,2013
"196","08CED2898_14","08CED2898",2014-08-07,"2014",19.1,2533.15000000001,2014
"197","08CED2898_15","08CED2898",2015-08-18,"2015",21.15,3058.35000000001,2015
"198","08CED2898_17","08CED2898",2017-08-10,"2017",22.45,2442.25000000001,2017
"199","08CED2898_18","08CED2898",2018-08-01,"2018",19.1,2440.55,2018
"200","08CED2898_19","08CED2898",2019-08-01,"2019",21.75,2341.2,2019
"201","08CED2898_20","08CED2898",2020-08-05,"2020",20.5,2405.85000000001,2020
"202","08CED2898_21","08CED2898",2021-07-22,"2021",18.05,2233,2021
"203","08CED4192/05","08CED4192",2005-08-08,"2005",19.8,2416.35,2005
"204","08CED4192/06","08CED4192",2006-08-23,"2006",14.7,2629.35000000001,2006
"205","08CED4192/08","08CED4192",2008-08-27,"2008",12.55,2418.10000000001,2008
"206","08CED4192/09","08CED4192",2009-08-11,"2009",17.95,2268.25,2009
"207","08CED4192/10","08CED4192",2010-08-18,"2010",17.2,2440.95,2010
"208","08CED4192_11","08CED4192",2011-09-19,"2011",13.05,2678.10000000001,2011
"209","08CED4192_12","08CED4192",2012-08-27,"2012",16.2,2473.80000000001,2012
"210","08CED4192_13","08CED4192",2013-08-05,"2013",21,2285.65000000001,2013
"211","08CED4192_14","08CED4192",2014-09-03,"2014",13.8,2854.50000000001,2014
"212","08CED4192_15","08CED4192",2015-08-18,"2015",20.5,2950.95000000001,2015
"213","08CED4192_16","08CED4192",2016-08-09,"2016",16.3000000000001,2652.25000000001,2016
"214","08CED4192_17","08CED4192",2017-08-10,"2017",22.5500000000001,2374.55,2017
"215","08CED4192_17_R","08CED4192",2017-08-10,"2017",22.5500000000001,2374.55,2017
"216","08CED4192_18","08CED4192",2018-08-30,"2018",17.85,2899.50000000001,2018
"217","08CED4192_19","08CED4192",2019-07-23,"2019",16.15,2045.2,2019
"218","08CED4192_20","08CED4192",2020-08-05,"2020",20.35,2372.05,2020
"219","08CED4192_2002","08CED4192",2002-08-21,"2002",15.1,2407.60000000001,2002
"220","08CED4192_2003","08CED4192",2003-08-14,"2003",20.3000000000001,2538.70000000001,2003
"221","08CED4192_2007","08CED4192",2007-08-29,"2007",19.15,2674.15000000001,2007
"222","08CED4192_21","08CED4192",2021-08-02,"2021",22.15,2423.15000000001,2021
"223","08CED4975/05","08CED4975",2005-08-25,"2005",19.1,2621.45000000001,2005
"224","08CED4975/06","08CED4975",2006-08-23,"2006",14.25,2516.90000000001,2006
"225","08CED4975/08","08CED4975",2008-08-26,"2008",13.3,2273.00000000001,2008
"226","08CED4975/10","08CED4975",2010-08-26,"2010",13.7,2489.65000000001,2010
"227","08CED4975_11","08CED4975",2011-08-17,"2011",16.9,2013.6,2011
"228","08CED4975_12","08CED4975",2012-09-05,"2012",16.95,2504.30000000001,2012
"229","08CED4975_13","08CED4975",2013-09-11,"2013",23.15,2877.10000000001,2013
"230","08CED4975_14","08CED4975",2014-09-23,"2014",15.75,3136.35,2014
"231","08CED4975_16","08CED4975",2016-08-03,"2016",16.6,2436.50000000001,2016
"232","08CED4975_17","08CED4975",2017-07-31,"2017",20.65,2008.85,2017
"233","08CED4975_19","08CED4975",2019-07-31,"2019",18.85,2098.55,2019
"234","08CED4975_2002","08CED4975",2002-09-05,"2002",12.9,2532.25000000001,2002
"235","08CED4975_2007","08CED4975",2007-09-20,"2007",10,2879.15000000001,2007
"236","08CED5032/06","08CED5032",2006-08-23,"2006",14.1,2461.30000000001,2006
"237","08CED5032/08","08CED5032",2008-09-03,"2008",12.1,2287.00000000001,2008
"238","08CED5032/09","08CED5032",2009-08-27,"2009",19.4,2383.8,2009
"239","08CED5032/10","08CED5032",2010-08-26,"2010",13.3000000000001,2416.00000000001,2010
"240","08CED5032_11","08CED5032",2011-08-17,"2011",16.6,1947.60000000001,2011
"241","08CED5032_12","08CED5032",2012-08-30,"2012",15,2362.55000000001,2012
"242","08CED5032_13","08CED5032",2013-09-11,"2013",23.05,2820.10000000001,2013
"243","08CED5032_14","08CED5032",2014-09-23,"2014",15.75,3053.60000000001,2014
"244","08CED5032_16","08CED5032",2016-08-03,"2016",15.75,2330.25000000001,2016
"245","08CED5032_17","08CED5032",2017-07-31,"2017",20.4,1901.95,2017
"246","08CED5032_18","08CED5032",2018-08-30,"2018",16.6,2654.55000000001,2018
"247","08CED5032_19","08CED5032",2019-07-31,"2019",18.25,2011.25,2019
"248","08CED5032_20","08CED5032",2020-07-28,"2020",20.5,1951.00000000001,2020
"249","08CED5032_2002","08CED5032",2002-09-10,"2002",16.25,2495.90000000001,2002
"250","08CED5032_2003","08CED5032",2003-08-14,"2003",19.85,2357.95000000001,2003
"251","08CED5032_2007","08CED5032",2007-09-20,"2007",9.85000000000002,2807.35000000001,2007
"252","08CED5032_21","08CED5032",2021-07-13,"2021",19.5500000000001,1780.2,2021
"253","08CED5046/05","08CED5046",2005-08-25,"2005",18.5,2404.85,2005
"254","08CED5046/08","08CED5046",2008-08-26,"2008",12.3000000000001,2006.40000000001,2008
"255","08CED5046/09","08CED5046",2009-08-27,"2009",18.95,2261.00000000001,2009
"256","08CED5046/10","08CED5046",2010-08-26,"2010",12.65,2254.70000000001,2010
"257","08CED5046/10-R","08CED5046",2010-08-26,"2010",12.65,2254.70000000001,2010
"258","08CED5046_12","08CED5046",2012-09-05,"2012",16.35,2245.20000000001,2012
"259","08CED5046_13","08CED5046",2013-09-11,"2013",22.5500000000001,2610.05000000001,2013
"260","08CED5046_14","08CED5046",2014-09-23,"2014",15.25,2917.65000000001,2014
"261","08CED5046_15","08CED5046",2015-08-03,"2015",19.45,2508.1,2015
"262","08CED5046_16","08CED5046",2016-08-03,"2016",14.5500000000001,2147.25000000001,2016
"263","08CED5046_16_R","08CED5046",2016-08-03,"2016",14.5500000000001,2147.25000000001,2016
"264","08CED5046_17","08CED5046",2017-07-31,"2017",19.85,1753.8,2017
"265","08CED5046_18","08CED5046",2018-09-17,"2018",9.80000000000007,2714.40000000001,2018
"266","08CED5046_21","08CED5046",2021-07-12,"2021",19.95,1662.05,2021
"267","08EAS1536/06","08EAS1536",2006-08-02,"2006",17.95,2469.05000000001,2006
"268","08EAS1536/09","08EAS1536",2009-08-25,"2009",15.9,2780.50000000001,2009
"269","08EAS1536/10","08EAS1536",2010-08-10,"2010",17.3,2586.45000000001,2010
"270","08EAS1536_11","08EAS1536",2011-08-04,"2011",19.8,2139.05,2011
"271","08EAS1536_12","08EAS1536",2012-08-22,"2012",16.8000000000001,2628.35000000001,2012
"272","08EAS1536_13","08EAS1536",2013-08-08,"2013",21.85,2589.25000000001,2013
"273","08EAS1536_14_R","08EAS1536",2014-08-27,"2014",23.2,3080.00000000001,2014
"274","08EAS1536_15","08EAS1536",2015-08-11,"2015",23.15,3053.25000000001,2015
"275","08EAS1536_16","08EAS1536",2016-08-17,"2016",19.9,3012.55000000001,2016
"276","08EAS1536_17","08EAS1536",2017-08-21,"2017",20.35,2746.8,2017
"277","08EAS1536_18","08EAS1536",2018-09-17,"2018",12.65,3388.70000000001,2018
"278","08EAS1536_19","08EAS1536",2019-07-18,"2019",17,2132.45,2019
"279","08EAS1536_20","08EAS1536",2020-08-31,"2020",16.8000000000001,2991.10000000001,2020
"280","08EAS1536_2007","08EAS1536",2007-08-01,"2007",19.6,2405.15000000001,2007
"281","08EAS1536_21","08EAS1536",2021-09-20,"2021",15.7,3418.45000000001,2021
"282","08EAS1964/05-R","08EAS1964",2005-08-22,"2005",19.65,2880.40000000001,2005
"283","08EAS1964/06","08EAS1964",2006-08-03,"2006",17.75,2470.35,2006
"284","08EAS1964/09","08EAS1964",2009-08-03,"2009",19.55,2343.15,2009
"285","08EAS1964/10-R","08EAS1964",2010-08-10,"2010",16.45,2546.15000000001,2010
"286","08EAS1964_11","08EAS1964",2011-08-31,"2011",12.45,2590.30000000001,2011
"287","08EAS1964_12","08EAS1964",2012-08-01,"2012",17.9,2154.35,2012
"288","08EAS1964_13","08EAS1964",2013-08-05,"2013",22.25,2482.90000000001,2013
"289","08EAS1964_13_R","08EAS1964",2013-08-05,"2013",22.25,2482.90000000001,2013
"290","08EAS1964_14","08EAS1964",2014-08-20,"2014",17.6,2920.30000000001,2014
"291","08EAS1964_15","08EAS1964",2015-09-14,"2015",13.4,3652.00000000001,2015
"292","08EAS1964_16","08EAS1964",2016-08-10,"2016",18.65,2856.1,2016
"293","08EAS1964_17","08EAS1964",2017-08-01,"2017",22.05,2313.5,2017
"294","08EAS1964_18","08EAS1964",2018-08-14,"2018",22,2785.60000000001,2018
"295","08EAS1964_18_R","08EAS1964",2018-08-14,"2018",22,2785.60000000001,2018
"296","08EAS1964_19","08EAS1964",2019-08-20,"2019",20.3000000000001,2801.80000000001,2019
"297","08EAS1964_20","08EAS1964",2020-08-19,"2020",21.15,2760.1,2020
"298","08EAS1964_2003","08EAS1964",2003-08-08,"2003",18.65,2610.00000000001,2003
"299","08EAS1964_21","08EAS1964",2021-09-20,"2021",15.85,3431.55000000001,2021
"300","08EAS2058/05","08EAS2058",2005-08-17,"2005",15.65,2781.50000000001,2005
"301","08EAS2058/06","08EAS2058",2006-08-07,"2006",20.5,2546.80000000001,2006
"302","08EAS2058/09","08EAS2058",2009-08-03,"2009",19.55,2343.15,2009
"303","08EAS2058/10","08EAS2058",2010-08-10,"2010",16.45,2546.15000000001,2010
"304","08EAS2058_11","08EAS2058",2011-08-01,"2011",18.65,2039.45,2011
"305","08EAS2058_12","08EAS2058",2012-08-01,"2012",17.9,2154.35,2012
"306","08EAS2058_13","08EAS2058",2013-07-30,"2013",20.1,2359.75,2013
"307","08EAS2058_13_rep","08EAS2058",2013-07-30,"2013",20.1,2359.75,2013
"308","08EAS2058_14","08EAS2058",2014-08-04,"2014",23.2,2591.8,2014
"309","08EAS2058_16","08EAS2058",2016-08-02,"2016",17.3,2713.75000000001,2016
"310","08EAS2058_17","08EAS2058",2017-08-03,"2017",25.35,2363.25,2017
"311","08EAS2058_18","08EAS2058",2018-08-14,"2018",22,2785.60000000001,2018
"312","08EAS2058_19","08EAS2058",2019-09-04,"2019",18.65,3091.80000000001,2019
"313","08EAS2058_20","08EAS2058",2020-07-27,"2020",24.3,2302.15000000001,2020
"314","08EAS2058_2002","08EAS2058",2002-08-12,"2002",20.6,2415.65000000001,2002
"315","08EAS2058_2003","08EAS2058",2003-08-08,"2003",18.65,2610.00000000001,2003
"316","08EAS2058_21","08EAS2058",2021-07-29,"2021",23.35,2434.65,2021
"317","08EAS2191/05","08EAS2191",2005-08-16,"2005",18.95,2731.20000000001,2005
