"","Parameter","Site","mk.tau","mk.Slope","mk.pval.het","mk.pval.z","mk.inter","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","trend","trend.het"
"1","Turbidity","07CHR234411",0.0344982078853047,0.01325,0.344362479567951,0.578449521863427,-40.0361875,0.0222222222222222,0.0444444444444444,-0.333333333333333,0.0555555555555556,-0.0555555555555556,0.0666666666666667,0.288888888888889,0.377777777777778,0.384615384615385,0.0666666666666667,-0.141025641025641,-0.422222222222222,"none","none"
"2","Turbidity","07STL080295",-0.215808491418248,-0.082,0.223643363768837,0.00209355028896426,159.6975,-0.355555555555556,0.218181818181818,-0.377777777777778,-0.166666666666667,-0.555555555555556,-0.0666666666666667,-0.333333333333333,-0.181818181818182,0.288888888888889,-0.0666666666666667,-0.466666666666667,-0.512820512820513,"negative","none"
"3","Turbidity","08EAS1964",0.00519438574650133,0.00171428571428572,0.532707871872076,0.853787978898906,22.8791301169591,-0.0350877192982456,0.321637426900585,-0.0915032679738562,-0.191176470588235,-0.143790849673203,0.12280701754386,-0.213235294117647,0.0562770562770563,-0.0065359477124183,0.228758169934641,-0.068421052631579,0.0315789473684211,"none","none"
"4","Turbidity","08EAS2191",-0.144864883517907,-0.0652941176470588,0.705944520860468,0.00586459672421328,138.479642857143,0.183006535947712,-0.2,-0.316666666666667,-0.0285714285714286,-0.0882352941176471,-0.126315789473684,-0.0808823529411765,-0.0808823529411765,-0.132352941176471,-0.242647058823529,-0.419117647058824,-0.227941176470588,"negative","none"
"5","Turbidity","08EVA3555",-0.00971415146807817,-0.00333333333333337,0.849699651975702,0.814417199872052,-9.31709201388884,-0.120879120879121,-0.227941176470588,0.0294117647058824,0.2,0.0857142857142857,0.0220588235294118,0.0583333333333333,0.0666666666666667,0.142857142857143,0.025,-0.116666666666667,-0.242647058823529,"none","none"
"6","Turbidity","08ISS3877",-0.0261755715045189,-0.0068421052631579,0.968186770324168,0.574369299624204,6.14791346153845,-0.0760233918128655,0.147058823529412,0.0578947368421053,-0.0166666666666667,-0.252631578947368,-0.00584795321637427,0.00735294117647059,-0.0116959064327485,-0.0980392156862745,-0.0849673202614379,-0.0392156862745098,0.0818713450292398,"none","none"
"7","Turbidity","08ISS3958",0.0639362851739681,0.0108333333333334,0.854705287036082,0.230675161526473,-28.6597115384615,0.266666666666667,0.213235294117647,0.0735294117647059,0.191666666666667,-0.213235294117647,0.0333333333333333,0.132352941176471,-0.0065359477124183,-0.00952380952380952,-0.1,0.0476190476190476,0.139705882352941,"none","none"
"8","Turbidity","08LAK3121",0.0363315023727966,0.00485294117647059,0.0971841799969204,0.549494635005259,-32.644705882353,0.163398692810458,-0.0166666666666667,-0.125,0.19047619047619,-0.461988304093567,0.132352941176471,0.320261437908497,0.163157894736842,-0.0736842105263158,0.227941176470588,-0.128654970760234,0.110294117647059,"none","none"
"9","Turbidity","08LAK3540",-0.0869160614384258,-0.0209090909090909,0.108948980881624,0.0755307517448494,69.1900448717949,-0.0619047619047619,0.169934640522876,-0.183006535947712,0.227941176470588,0.16374269005848,-0.300653594771242,-0.241830065359477,-0.405228758169935,-0.136842105263158,0.110526315789474,-0.304093567251462,-0.0865800865800866,"none","none"
"10","Turbidity","08LAK3616",0.0734433285509326,0.0288888888888889,0.629368339631684,0.167446446014654,-52.1523684210526,0.147058823529412,-0.0166666666666667,-0.0955882352941176,0.227941176470588,0.0294117647058824,0.25,0.366666666666667,0.202614379084967,-0.0392156862745098,0.0661764705882353,-0.110294117647059,-0.124183006535948,"none","none"
"11","Turbidity","08LAK3627",0.0389139753241421,0.00679999999999998,0.238824399278841,0.405548036492196,-1.36625,-0.183006535947712,0.0588235294117647,-0.175,0.0735294117647059,-0.0261437908496732,0.223809523809524,0.0367647058823529,0.309941520467836,0.0147058823529412,0.359477124183007,-0.0175438596491228,-0.242105263157895,"none","none"
"12","Turbidity","08LAK3628",0.0519261988011988,0.00958333333333332,0.921342199457707,0.438400394753759,-7.20824404761903,0.333333333333333,0.123809523809524,-0.0916666666666667,0.0769230769230769,0.0512820512820513,0.0857142857142857,0.285714285714286,-0.010989010989011,0,0,-0.133333333333333,-0.0147058823529412,"none","none"
"13","Turbidity","08LIT2585",-0.0807792451473847,-0.02,0.995002045935037,0.0894801176963956,31.5242307692308,-0.00432900432900433,0.00526315789473684,-0.105263157894737,-0.124183006535948,-0.10952380952381,-0.087719298245614,-0.0994152046783626,-0.289473684210526,-0.0523809523809524,-0.00584795321637427,-0.0761904761904762,-0.0346320346320346,"none","none"
"14","Turbidity","08LIT2692",0.0554334341788386,0.0120909090909091,0.953751047277885,0.254194248763658,-12.59175,0.116666666666667,-0.0549450549450549,-0.0666666666666667,0.0606060606060606,0.00952380952380952,0.257352941176471,0.169590643274854,0.150326797385621,0.1,0.0392156862745098,-0.125,-0.0583333333333333,"none","none"
"15","Turbidity","08NOR1362",0.0489335068746833,0.008125,0.631552916368169,0.300560957142355,2.41043660287083,-0.0367647058823529,-0.197802197802198,-0.128205128205128,-0.021978021978022,0.0571428571428571,0.295238095238095,0.15,0.300653594771242,0.116666666666667,0.175,-0.075,-0.142857142857143,"none","none"
"16","Turbidity","08NOR2306",-0.0588905775075988,-0.0134615384615384,0.097641664192053,0.311619270745838,35.6426400162338,0.227941176470588,-0.323809523809524,-0.102564102564103,0,0.108333333333333,0.316176470588235,-0.0380952380952381,-0.507352941176471,-0.233333333333333,-0.00735294117647059,-0.0416666666666667,-0.142857142857143,"none","none"
