"","SiteName","SampleName","SampleDate","ThalwegDepth"
"73","08WES1340","08WES1340_18","2018-08-28 21:00:00.0000000",3.64173228346457
"74","08CED2433","08CED2433_18","2018-08-29 15:47:00.0000000",5.56102362204724
"75","08ISS4884","08ISS4884_18","2018-08-29 16:30:00.0000000",4.28149606299213
"76","28A","28A_18","2018-08-29 17:20:00.0000000",6.59448818897638
"77","07SFS066611","07SFS066611_18","2018-08-29 17:35:00.0000000",4.08464566929134
"78","09BLA0756","09BLA0756_18","2018-08-29 19:00:00.0000000",4.92125984251969
"79","VashShing","VashShin_18","2018-08-29 19:19:00.0000000",9.44881889763779
"80","07PAT228627","07PAT228627_18","2018-08-29 19:50:00.0000000",5.70866141732283
"81","07LMS055075","07LMS055075_18","2018-08-29 20:51:00.0000000",4.23228346456693
"82","08EVA3642","08EVA3642_18","2018-08-30 15:13:00.0000000",2.46062992125984
"83","Miller_Cove","Miller_Cove_18","2018-08-30 16:00:00.0000000",7.67716535433071
"84","08CED4192","08CED4192_18","2018-08-30 16:40:00.0000000",6.84055118110236
"85","08EVA3640","08EVA3640_18","2018-08-30 17:05:00.0000000",5.41338582677165
"86","Miller_SWSSD","Miller_SWSSD_18","2018-08-30 18:00:00.0000000",7.7755905511811
"87","08EVA3813","08EVA3813_18","2018-08-30 20:40:00.0000000",3.24803149606299
"88","WalkerPreserve","WalkerPreserve_18","2018-08-30 21:00:00.0000000",6.00393700787402
"89","08CED5032","08CED5032_18","2018-08-30 21:36:00.0000000",6.2007874015748
"90","08EAS2272","08EAS2272_18","2018-08-31 19:50:00.0000000",11.7125984251969
"91","07PAT231079","07PAT231079_18","2018-09-05 15:45:00.0000000",2.85433070866142
"92","09DEE2208","09DEE2208_18","2018-09-06 16:10:00.0000000",12.2047244094488
"93","07GRN022903","07GRN022903_18","2018-09-06 16:38:00.0000000",6.79133858267716
"94","09MID1537","09MID1537_18","2018-09-06 18:50:00.0000000",3.34645669291339
