"","SiteName","SampleDate","LargeWoodyDebrisNumber","SampleName"
"219","08CED2711",2019-08-01 20:45:00,3,"08CED2711_19"
"220","08EVA3642",2019-08-06 07:00:00,0,"08EVA3642_19"
"221","08BEA3650",2019-08-06 17:30:00,1,"08BEA3650_19"
"222","07LMS033235",2019-08-14 16:05:00,42,"07LMS033235_19"
"223","08ISS3962",2019-07-18 16:50:00,4,"08ISS3962_19"
"224","08WES0905",2019-07-18 21:30:00,0,"08WES0905_19"
"225","08EAS1536",2019-07-18 15:10:00,4,"08EAS1536_19"
"226","07RAG022147",2019-08-14 17:15:00,23,"07RAG022147_19"
"227","08WES1178",2019-07-18 18:10:00,4,"08WES1178_19"
"228","09MID1817",2019-08-13 15:45:00,NA,"09MID1817_19"
"229","07TKL072439",2019-07-22 18:35:00,5,"07TKL072439_19"
"230","09SOO1130",2019-08-15 19:00:00,38,"09SOO1130_19"
"231","09DUW0277",2019-08-12 19:20:00,2,"09DUW0277_19"
"232","08CED2898",2019-08-01 15:12:00,4,"08CED2898_19"
"233","08EAS1964",2019-08-20 21:00:00,8,"08EAS1964_19"
"234","08NOR1750",2019-08-19 21:15:00,8,"08NOR1750_19"
"235","08BEA3474",2019-07-17 15:11:00,1,"08BEA3474_19"
"236","08BEA3747",2019-08-19 15:45:00,17,"08BEA3747_19"
"237","08LIT2682",2019-07-17 18:30:00,6,"08LIT2682_19"
"238","08EAS2546",2019-08-20 17:45:00,2,"08EAS2546_19"
"239","08ISS3877",2019-07-15 16:00:00,16,"08ISS3877_19"
"240","08BEA3737",2019-07-16 19:30:00,0,"08BEA3737_19"
"241","08BEA3312",2019-06-16 16:13:00,4,"08BEA3312_19"
"242","08BEA3571",2019-08-19 18:45:00,3,"08BEA3571_19"
"243","09MID1374",2019-08-07 16:00:00,6,"09MID1374_19"
"245","09DUW0225",2019-07-23 15:45:00,1,"09DUW0225_19"
"246","09COV1862",2019-07-18 15:30:00,24,"09COV1862_19"
"247","09SOO1134",2019-08-15 15:15:00,8,"09SOO1134_19"
"248","09DEE2211",2019-08-19 16:20:00,0,"09DEE2211_19"
"251","08LAK3879",2019-08-12 15:15:00,1,"08LAK3879_19"
"254","08SAM2674",2019-08-06 16:45:00,0,"08SAM2674_19"
"255","08NOR1362",2019-08-06 19:40:00,1,"08NOR1362_19"
"256","08ISS4748",2019-07-22 19:50:00,1,"08ISS4748_19"
"258","09COV1756",2019-08-13 19:47:00,21,"09COV1756_19"
"259","07TKL047047",2019-08-12 15:30:00,4,"07TKL047047_19"
"261","09COV1864",2019-07-18 18:56:00,6,"09COV1864_19"
"263","Miller_Cove",2019-08-26 17:00:00,20,"Miller_Cove_19"
"264","Miller_SWSSD",2019-08-26 15:20:00,9,"Miller_SWSSD_19"
"265","08WES1340",2019-08-26 18:15:00,12,"08WES1340_19"
"266","WalkerPreserve",2019-08-26 15:15:00,0,"WalkerPreserve_19"
"267","07STL080295",2019-08-22 17:30:00,3,"07STL080295_19"
"268","07CHR234411",2019-08-22 21:15:00,6,"07CHR234411_19"
"269","07HAR025863",2019-08-20 15:54:00,4,"07HAR025863_19"
"270","07GRN022903",2019-08-20 18:39:00,7,"07GRN022903_19"
"271","08LAK3628",2019-08-22 15:15:00,1,"08LAK3628_19"
"273","09LOW0751",2019-09-05 18:15:00,11,"09LOW0751_19"
"274","08SAM2865",2019-08-27 15:30:00,10,"08SAM2865_19"
"275","08NOR1370",2019-08-22 19:30:00,14,"08NOR1370_19"
"276","08LAK3540",2019-08-29 15:15:00,15,"08LAK3540_19"
"277","07PAT166087",2019-07-22 16:37:00,0,"07PAT166087_19"
"278","09LOW0753",2019-09-05 16:15:00,2,"09LOW0753_19"
"279","07PAT187623",2019-08-28 15:45:00,0,"07PAT187623_19"
"280","09JEN1318",2019-09-05 20:15:00,3,"09JEN1318_19"
"281","BSE_21_GolfCrs",2019-09-10 16:45:00,7,"BSE_21_GolfCrs_19"
"282","09DEE2208",2019-08-28 21:00:00,13,"09DEE2208_19"
"283","09BLA0768",2019-08-28 18:20:00,0,"09BLA0768_19"
"284","09NEW2128",2019-09-10 19:30:00,0,"09NEW2128_19"
"288","09MIL0340",2019-09-10 17:15:00,0,"09MIL0340_19"
"289","08LAK3121",2019-08-06 20:17:00,1,"08LAK3121_19"
"291","07PAT231079",2019-08-28 17:53:00,6,"07PAT231079_19"
"292","09LOW0325",2019-09-10 15:15:00,0,"09LOW0325_19"
"294","08LAK2827",2019-09-11 20:00:00,0,"08LAK2827_19"
"295","08EAS2540",2019-09-11 17:30:00,3,"08EAS2540_19"
"296","08EAS2446",2019-09-11 15:24:00,4,"08EAS2446_19"
"297","07SFS041891",2019-08-27 20:27:00,3,"07SFS041891_19"
"300","09COV1165",2019-09-12 15:30:00,16,"09COV1165_19"
"302","07PAT001415",2019-08-12 18:30:00,3,"07PAT001415_19"
"305","08WES1037",2019-09-18 20:15:00,1,"08WES1037_19"
"306","08EVA3640",2019-09-16 15:40:00,0,"08EVA3640_19"
"307","08EAS2191",2019-09-16 18:05:00,0,"08EAS2191_19"
"308","09COV1418",2019-09-19 17:15:00,9,"09COV1418_19"
"311","09BLA0771",2019-09-19 15:15:00,5,"09BLA0771_19"
"312","09SOO1022",2019-09-19 20:15:00,12,"09SOO1022_19"
"313","07HAR070087",2019-09-19 15:00:00,0,"07HAR070087_19"
"314","08LAK3627",2019-09-23 15:15:00,3,"08LAK3627_19"
"315","08WES0629",2019-09-25 18:30:00,12,"08WES0629_19"
"316","08WES1490",2019-09-23 19:15:00,8,"08WES1490_19"
"317","08CED2433",2019-09-23 17:15:00,4,"08CED2433_19"
"318","07LNT075179",2019-10-02 17:15:00,6,"07LNT075179_19"
"321","08LIT2602",2019-10-01 15:15:00,6,"08LIT2602_19"
"323","08LIT2692",2019-10-01 17:45:00,9,"08LIT2692_19"
"326","09BLA0716",2019-09-26 15:00:00,2,"09BLA0716_19"
"327","08SAM1914",2019-10-01 20:45:00,2,"08SAM1914_19"
"328","07CHR070059",2019-09-03 16:00:00,8,"07CHR070059_19"
"329","08LIT2603",2019-10-07 20:15:00,3,"08LIT2603_19"
"331","07GRN077319",2019-09-03 18:00:00,6,"07GRN077319_19"
"332","09SOO1209",2019-09-26 19:45:00,6,"09SOO1209_19"
"334","09BLA0675",2019-09-24 15:10:00,12,"09BLA0675_19"
"335","09MIL0390",2019-09-24 17:30:00,0,"09MIL0390_19"
"336","09MID2426",2019-09-30 20:15:00,3,"09MID2426_19"
"338","09NEW2076",2019-10-07 16:00:00,2,"09NEW2076_19"
"339","09MID1537",2019-09-26 17:30:00,0,"09MID1537_19"
"340","08EAS2272",2019-10-03 19:30:00,1,"08EAS2272_19"
"342","09NEW2102",2019-10-03 16:15:00,4,"09NEW2102_19"
"344","09JEN1357",2019-09-24 20:00:00,3,"09JEN1357_19"
"346","07PAT228627",2019-09-25 15:30:00,3,"07PAT228627_19"
"347","09DEE2294",2019-09-30 16:15:00,2,"09DEE2294_19"
"348","08EAS2631",2019-09-18 17:00:00,12,"08EAS2631_19"
"352","07SFS009443",2019-09-19 17:45:00,12,"07SFS009443_19"
"358","08ISS4724",2019-10-11 15:15:00,18,"08ISS4724_19"
"359","07LNT163403",2019-08-27 16:30:00,1,"07LNT163403_19"
"360","09MID1958",2019-07-29 20:45:00,2,"09MID1958_19"
"362","08BEA3914",2019-08-06 19:25:00,4,"08BEA3914_19"
"363","07LMS103591",2019-09-05 19:45:00,17,"07LMS103591_19"
"364","08LAK3880",2019-09-19 14:45:00,NA,"08LAK3880_19"
"365","07SFS011475",2019-09-12 15:30:00,4,"07SFS011475_19"
"366","09SOO1283",2019-09-19 16:15:00,5,"09SOO1283_19"
"367","08ISS3958",2019-08-29 16:15:00,0,"08ISS3958_19"
"368","08EVA3813",2019-09-10 18:15:00,6,"08EVA3813_19"
"369","08LIT2585",2019-09-17 18:00:00,5,"08LIT2585_19"
"370","08EAS2058",2019-09-04 21:10:00,2,"08EAS2058_19"
"371","08SAM2862",2019-09-18 16:45:00,5,"08SAM2862_19"
"372","07LMS026663",2019-09-05 17:15:00,34,"07LMS026663_19"
"373","08WES0903",2019-10-01 17:15:00,4,"08WES0903_19"
"375","08SAM3045",2019-09-18 20:00:00,1,"08SAM3045_19"
"376","08BEA3826",2019-08-06 17:40:00,7,"08BEA3826_19"
"377","08SAM3047",2019-08-28 16:15:00,21,"08SAM3047_19"
"379","07LMS093027",2019-09-12 17:15:00,NA,"07LMS093027_19"
"380","08WES0622",2019-08-28 20:05:00,2,"08WES0622_19"
"381","07SFS011059",2019-09-12 19:30:00,NA,"07SFS011059_19"
"382","08SAM0000",2019-09-24 19:30:00,2,"08SAM0000_19"
"383","08LAK3699",2019-09-09 18:15:00,3,"08LAK3699_19"
"384","08ISS4573",2019-08-29 18:00:00,3,"08ISS4573_19"
"385","VashShing",2019-09-30 15:45:00,6,"VashShin_19"
"386","09BLA0817",2019-09-04 18:55:00,5,"09BLA0817_19"
"387","VashChris",2019-09-30 17:45:00,1,"VashChris_19"
"388","28A",2019-09-30 19:00:00,12,"28A_19"
"390","09MID1744",2019-09-11 18:15:00,6,"09MID1744_19"
"391","08BEA3321",2019-10-01 16:00:00,1,"08BEA3321_19"
"396","08CED2898",2020-08-05 16:50:00,2,"08CED2898_20"
"398","08BEA3650",2020-08-10 17:45:00,3,"08BEA3650_20"
"399","08BEA3571",2020-08-12 21:00:00,0,"08BEA3571_20"
"400","08EVA3640",2020-08-04 16:00:00,1,"08EVA3640_20"
"402","09BLA0675",2020-07-27 17:00:00,25,"09BLA0675_20"
"403","08LAK3879",2020-08-06 17:15:00,8,"08LAK3879_20"
"404","08WES1178",2020-07-30 15:30:00,0,"08WES1178_20"
"405","08NOR1370",2020-07-30 18:30:00,6,"08NOR1370_20"
"406","08CED5046",2020-07-28 17:45:00,12,"08CED5046_20"
"407","08SAM2855",2020-08-12 20:30:00,6,"08SAM2855_20"
"408","08NOR1750",2020-08-12 16:45:00,4,"08NOR1750_20"
"409","07PAT231079",2020-07-29 16:30:00,27,"07PAT231079_20"
"410","09MIL0390",2020-07-22 18:45:00,0,"09MIL0390_20"
"411","09MIL0340",2020-07-22 17:00:00,0,"09MIL0340_20"
"412","09DUW0225",2020-07-22 22:15:00,6,"09DUW0225_20"
"413","08CED5032",2020-07-28 21:30:00,0,"08CED5032_20"
"414","09BLA0716",2020-07-27 19:45:00,1,"09BLA0716_20"
"415","09COV1418",2020-07-29 21:00:00,3,"09COV1418_20"
"416","09MID1374",2020-07-29 17:30:00,6,"09MID1374_20"
"418","08CED4192",2020-08-05 19:30:00,9,"08CED4192_20"
"419","08CED2711",2020-08-11 20:00:00,8,"08CED2711_20"
"420","09BLA0771",2020-08-11 15:30:00,13,"09BLA0771_20"
"421","09BLA0772",2020-08-11 17:30:00,2,"09BLA0772_20"
"423","07TKL072439",2020-08-13 20:00:00,9,"07TKL072439_20"
"424","08ISS4735",2020-08-18 19:45:00,20,"08ISS4735_20"
"425","08ISS4730",2020-08-18 16:30:00,13,"08ISS4730_20"
"426","09COV1165",2020-07-23 16:35:00,26,"09COV1165_20"
"427","09JEN1318",2020-07-23 20:30:00,0,"09JEN1318_20"
