"TNAME"	"SUBKINGDOM"	"INFRAKINGDOM"	"SUPERPHYLUM"	"PHYLUM"	"SUBPHYLUM"	"INFRAPHYLUM"	"SUPERCLASS"	"CLASS"	"SUBCLASS"	"INFRACLASS"	"SUPERORDER"	"ORDER"	"SUBORDER"	"INFRAORDER"	"SUPERFAMILY"	"FAMILY"	"SUBFAMILY"	"TRIBE"	"SUBTRIBE"	"GENUS"	"SPECIES"	"NUMOCC"	"otufin"	"otufin2"
"ESTELLOXUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"LEBERTIIDAE"	NA	NA	NA	"ESTELLOXUS"	NA	2	"TROMBIDIFORMES"	"TROMBIDIFORMES"
"LEBERTIA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"LEBERTIIDAE"	NA	NA	NA	"LEBERTIA"	NA	42	"TROMBIDIFORMES"	"TROMBIDIFORMES"
"OXUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"OXIDAE"	NA	NA	NA	"OXUS"	NA	4	"TROMBIDIFORMES"	"TROMBIDIFORMES"
"SPERCHON"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"SPERCHONTIDAE"	NA	NA	NA	"SPERCHON"	NA	40	"TROMBIDIFORMES"	"TROMBIDIFORMES"
"SPERCHONOPSIS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"SPERCHONTIDAE"	NA	NA	NA	"SPERCHONOPSIS"	NA	25	"TROMBIDIFORMES"	"TROMBIDIFORMES"
"TESTUDACARUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"TORRENTICOLIDAE"	NA	NA	NA	"TESTUDACARUS"	NA	10	"TROMBIDIFORMES"	"TROMBIDIFORMES"
"TORRENTICOLA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"TORRENTICOLIDAE"	NA	NA	NA	"TORRENTICOLA"	NA	30	"TROMBIDIFORMES"	"TROMBIDIFORMES"
"TROMBIDIFORMES"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	"TROMBIDIFORMES"	"TROMBIDIFORMES"
"ACARI"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	102	NA	NA
"PACIFASTACUS.LENIUSCULUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"EUCARIDA"	"DECAPODA"	"PLEOCYEMATA"	"ASTACIDEA"	"ASTACOIDEA"	"ASTACIDAE"	NA	NA	NA	"PACIFASTACUS"	"PACIFASTACUS.LENIUSCULUS"	7	NA	NA
