SITE_ID,SAMPLE_NUMBER,SampleID,Sand (A),Very Fine Gravel (B),Very Fine Gravel (C),Fine Gravel (D),Fine Gravel (E),Medium Gravel (F),Medium Gravel (G),Course Gravel (H),Course Gravel (I),Very Course Gravel (J),Very Course Gravel (K),Small Cobble (L),Medium Cobble (M),Large Cobble (N),Very Large Cobble (O),Small Boulder (P),Medium Boulder (Q),Large Boulder (R)
09BLA0768,09BLA0768_14,1783,31,0,0,2,3,3,13,14,20,11,16,5,0,0,0,0,0,0
09SOO1134,09SOO1134_14,1785,18,1,0,1,1,4,4,6,6,6,12,15,17,16,5,4,0,0
08EAS2546,08EAS2546_14,1786,22,0,1,0,6,5,6,15,14,9,11,8,3,0,0,0,0,0
08EAS1536,08EAS1536_14,1787,7,1,0,3,4,8,20,20,21,13,17,7,1,0,0,0,0,0
09DEE2294,09DEE2294_14,1788,0,0,0,1,1,0,1,3,8,19,29,22,13,10,4,5,0,0
09mil0390,09mil0390_14,1789,30,0,0,1,3,5,7,10,12,13,8,11,7,5,4,2,0,0
09LOW0325,09LOW0325_14,1790,6,1,2,4,3,4,9,14,18,24,11,8,7,2,0,0,0,0
09DUW0225,09DUW0225_14,1791,1,2,1,1,0,5,7,24,24,14,11,10,6,3,3,0,0,0
08ISS4294,08ISS4294_14,1792,24,0,1,0,2,6,3,3,5,16,12,21,13,14,0,2,0,0
08SAM0000,08SAM0000_14,1793,20,1,2,2,13,12,22,14,15,2,1,0,1,0,0,0,0,0
08SAM1914,08SAM1914_14,1794,11,0,3,2,7,9,20,26,18,26,12,4,2,0,0,0,0,0
08ISS4573,08ISS4573_14,1795,10,7,3,1,5,9,14,8,13,13,9,8,3,1,0,0,0,0
09MIL0340,09MIL0340_14,1797,10,0,0,0,3,2,3,6,9,15,27,18,4,7,2,0,0,0
09MID1537,09MID1537_14,1798,7,2,2,1,11,10,23,22,20,20,7,1,1,1,0,0,0,0
08WES1178,08WES1178_14,1799,6,0,1,1,1,3,10,15,18,17,16,10,5,2,0,0,0,0
09NEW2102,09NEW2102_14,1800,13,6,2,3,7,4,12,18,18,18,8,4,0,0,0,0,0,0
09NEW2076,09NEW2076_14,1801,6,1,0,0,5,7,21,24,29,9,0,2,0,0,0,0,0,0
09BLA0771,09BLA0771_14,1802,10,4,3,3,7,13,20,24,16,20,9,3,2,0,0,0,0,0
08LIT2692,08LIT2692_14,1803,9,1,0,2,2,4,7,9,18,15,20,14,2,0,0,0,0,0
08WES0903,08WES0903_14,1804,3,0,0,0,2,1,15,21,27,28,6,1,0,0,0,0,0,0
08EVA4077,08EVA4077_14,1805,1,2,3,6,6,11,17,22,32,11,7,2,0,0,1,0,0,0
08EVA3642,08EVA3642_14,1806,30,0,0,6,5,15,11,16,18,6,5,0,2,1,1,0,0,0
09MID2426,09MID2426_14,1807,2,2,1,0,8,7,25,27,18,16,7,1,1,0,0,0,0,0
09SOO1209,09SOO1209_14,1808,7,0,1,1,7,7,10,10,24,22,9,5,5,2,3,0,0,0
09SOO1022,09SOO1022_14,1809,10,0,0,3,5,5,7,15,17,5,19,16,7,1,3,0,0,0
08NOR1370,08NOR1370_14,1811,1,0,0,1,1,2,10,29,23,35,23,26,14,31,0,0,0,0
09SOO1130,09SOO1130_14,1813,21,1,0,1,0,2,3,16,14,16,29,17,16,10,1,1,1,0
08EAS2191,08EAS2191_14,1814,6,1,6,3,10,14,23,23,23,7,1,1,0,0,0,0,0,0
08CED2433,08CED2433_14,1817,3,2,4,3,4,8,8,20,14,14,8,5,5,2,1,1,0,0
08NOR1756,08NOR1756_14,1816,20,1,2,2,2,8,17,18,15,24,3,0,0,0,0,0,0,0
08LIT2602,08LIT2602_14,1818,7,0,1,7,10,13,45,30,14,7,1,0,0,0,0,0,0,0
Miller_Cove,Miller_Cove_14,1819,3,1,1,2,7,9,21,34,22,11,1,0,0,0,0,0,0,0
08NOR2306,08NOR2306_14,1820,6,0,0,5,2,6,21,24,23,30,13,2,0,1,1,0,0,0
09NEW1657,09NEW1657_14,1822,2,1,4,2,1,7,9,5,9,14,20,20,15,22,5,0,0,0
MILLER_SWSSD,MILLER_SWSSD_14,1821,8,3,3,5,1,1,8,14,30,23,21,10,2,1,0,0,0,0
