PSSB_SAMPID,PSSB_SITID,PSSB_VISID,tblSampleEvent_SAMPLE_NUMBER,SITE_ID,SampleDate,Time,tblRiffleGroup_SAMPLE_NUMBER,Reach_Length_ft,Number_of_Riffles_Sampled,Streambank_Stability,RiffleNumber,Riffle_Flow_Distance_ft,Riffle_Flow_Time_sec_Rep1,Riffle_Flow_Time_sec_Rep2,Riffle_Flow_Time_sec_Rep3
1052,110,649,08BEA3312_08,08BEA3312,8/14/2008 0:00:00,12/30/1899 13:00:00,08BEA3312_08,91,,2,3,4,3.25,3.18,4
4741,110,2554,08BEA3312_09,08BEA3312,8/6/2009 0:00:00,12/30/1899 10:45:00,08BEA3312_09,88,,2,1,9,7.43,7.62,7.85
4741,110,2554,08BEA3312_09,08BEA3312,8/6/2009 0:00:00,12/30/1899 10:45:00,08BEA3312_09,88,,2,2,6,3.9,4.5,4.47
4741,110,2554,08BEA3312_09,08BEA3312,8/6/2009 0:00:00,12/30/1899 10:45:00,08BEA3312_09,88,,2,3,6,3.06,4.4,4.44
4807,110,2991,08BEA3312_10,08BEA3312,8/25/2010 0:00:00,12/30/1899 11:54:00,08BEA3312_10,86,,2,1,9,6.69,6.33,8.166
4807,110,2991,08BEA3312_10,08BEA3312,8/25/2010 0:00:00,12/30/1899 11:54:00,08BEA3312_10,86,,2,2,5,3.49,3.54,3.18
4807,110,2991,08BEA3312_10,08BEA3312,8/25/2010 0:00:00,12/30/1899 11:54:00,08BEA3312_10,86,,2,3,7,5.49,6.99,5
5793,110,3721,08BEA3312_11,08BEA3312,8/15/2011 0:00:00,12/30/1899 14:00:00,08BEA3312_11,66,,3,1,5,2.74,2.95,2.66
5793,110,3721,08BEA3312_11,08BEA3312,8/15/2011 0:00:00,12/30/1899 14:00:00,08BEA3312_11,66,,3,2,5,3.1,3.2,3.57
5793,110,3721,08BEA3312_11,08BEA3312,8/15/2011 0:00:00,12/30/1899 14:00:00,08BEA3312_11,66,,3,3,4,2.57,2.45,2.71
3877,111,2336,08BEA3321_02,08BEA3321,9/11/2002 0:00:00,,08BEA3321_02,,,,1,3,1.75,1.5,1.5
3877,111,2336,08BEA3321_02,08BEA3321,9/11/2002 0:00:00,,08BEA3321_02,,,,2,3,2,1.75,1.75
3205,111,1951,08BEA3321_03,08BEA3321,8/7/2003 0:00:00,12/30/1899 7:40:00,08BEA3321_03,,,,1,3,1.47,1.57,1.47
3205,111,1951,08BEA3321_03,08BEA3321,8/7/2003 0:00:00,12/30/1899 7:40:00,08BEA3321_03,,,,2,3,1.99,1.83,2.15
3205,111,1951,08BEA3321_03,08BEA3321,8/7/2003 0:00:00,12/30/1899 7:40:00,08BEA3321_03,,,,3,3,1.79,1.74,1.96
913,111,813,08BEA3321_05,08BEA3321,8/9/2005 0:00:00,12/30/1899 8:40:00,08BEA3321_05,,,,1,3,2.41,2.33,2.66
913,111,813,08BEA3321_05,08BEA3321,8/9/2005 0:00:00,12/30/1899 8:40:00,08BEA3321_05,,,,2,3,2.85,2.57,2.81
913,111,813,08BEA3321_05,08BEA3321,8/9/2005 0:00:00,12/30/1899 8:40:00,08BEA3321_05,,,,3,4,1.67,1.5,1.55
84,111,84,08BEA3321_06,08BEA3321,8/21/2006 0:00:00,12/30/1899 12:00:00,08BEA3321_06,104,,3,1,7,3.16,3.09,3.05
84,111,84,08BEA3321_06,08BEA3321,8/21/2006 0:00:00,12/30/1899 12:00:00,08BEA3321_06,104,,3,2,7,6.32,4.56,6.26
84,111,84,08BEA3321_06,08BEA3321,8/21/2006 0:00:00,12/30/1899 12:00:00,08BEA3321_06,104,,3,3,10,3.96,3.1,3.19
3701,111,2208,08BEA3321_07,08BEA3321,8/16/2007 0:00:00,12/30/1899 11:45:00,08BEA3321_07,45,,4,1,8,3.33,3.73,3.16
718,111,655,08BEA3321_08,08BEA3321,8/11/2008 0:00:00,12/30/1899 13:15:00,08BEA3321_08,65,,4,1,10,4.19,4.31,4.13
718,111,655,08BEA3321_08,08BEA3321,8/11/2008 0:00:00,12/30/1899 13:15:00,08BEA3321_08,65,,4,2,8,2.57,2.65,2.5
3975,111,2430,08BEA3321_09,08BEA3321,8/12/2009 0:00:00,12/30/1899 1:35:00,08BEA3321_09,66,,4,1,10,5.5,5.1,5.8
3975,111,2430,08BEA3321_09,08BEA3321,8/12/2009 0:00:00,12/30/1899 1:35:00,08BEA3321_09,66,,4,2,9,6.5,8,6.5
3975,111,2430,08BEA3321_09,08BEA3321,8/12/2009 0:00:00,12/30/1899 1:35:00,08BEA3321_09,66,,4,3,15,4.5,5.1,5.3
4865,111,3047,08BEA3321_10,08BEA3321,8/10/2010 0:00:00,,08BEA3321_10,,,4,1,5,3.37,3.48,3.29
4865,111,3047,08BEA3321_10,08BEA3321,8/10/2010 0:00:00,,08BEA3321_10,,,4,2,10,3.9,3.85,3.59
4865,111,3047,08BEA3321_10,08BEA3321,8/10/2010 0:00:00,,08BEA3321_10,,,4,3,10,4.19,4.42,4.42
5878,111,3785,08BEA3321_11,08BEA3321,8/3/2011 0:00:00,12/30/1899 12:30:00,08BEA3321_11,42,,4,1,10,3.2,3.26,3.27
3878,112,2337,08BEA3325_02,08BEA3325,8/7/2002 0:00:00,,08BEA3325_02,,,,1,2,5.5,5.5,4.5
3878,112,2337,08BEA3325_02,08BEA3325,8/7/2002 0:00:00,,08BEA3325_02,,,,2,2,3.5,4,3
3878,112,2337,08BEA3325_02,08BEA3325,8/7/2002 0:00:00,,08BEA3325_02,,,,3,2,4.5,4,3.5
3206,112,1952,08BEA3325_03,08BEA3325,8/7/2003 0:00:00,12/30/1899 9:15:00,08BEA3325_03,,,,1,3,3.29,3.05,3.04
3206,112,1952,08BEA3325_03,08BEA3325,8/7/2003 0:00:00,12/30/1899 9:15:00,08BEA3325_03,,,,2,3,3.61,3.73,3.27
3206,112,1952,08BEA3325_03,08BEA3325,8/7/2003 0:00:00,12/30/1899 9:15:00,08BEA3325_03,,,,3,3,4.71,4.77,4.28
3703,112,2209,08BEA3325_07,08BEA3325,8/7/2007 0:00:00,12/30/1899 8:45:00,08BEA3325_07,84,,2,1,6,7.96,9.06,8.28
3703,112,2209,08BEA3325_07,08BEA3325,8/7/2007 0:00:00,12/30/1899 8:45:00,08BEA3325_07,84,,2,2,4,7.22,6.32,6.81
4802,140,2986,08BEA3474_10,08BEA3474,8/25/2010 0:00:00,12/30/1899 2:15:00,08BEA3474_10,310,,3,1,13,4.13,4.14,3.95
4802,140,2986,08BEA3474_10,08BEA3474,8/25/2010 0:00:00,12/30/1899 2:15:00,08BEA3474_10,310,,3,2,15,7.37,6.98,6.36
4802,140,2986,08BEA3474_10,08BEA3474,8/25/2010 0:00:00,12/30/1899 2:15:00,08BEA3474_10,310,,3,3,15,4.93,4.85,5.34
3879,113,2338,08BEA3478_02,08BEA3478,8/15/2002 0:00:00,,08BEA3478_02,,,,1,2,1.5,1.5,1.5
3879,113,2338,08BEA3478_02,08BEA3478,8/15/2002 0:00:00,,08BEA3478_02,,,,2,2,2.75,2.5,2
3879,113,2338,08BEA3478_02,08BEA3478,8/15/2002 0:00:00,,08BEA3478_02,,,,3,2,1.5,1.75,1.5
3207,113,1953,08BEA3478_03,08BEA3478,8/6/2003 0:00:00,12/30/1899 14:00:00,08BEA3478_03,,,,1,2,3.54,3.97,3.37
3207,113,1953,08BEA3478_03,08BEA3478,8/6/2003 0:00:00,12/30/1899 14:00:00,08BEA3478_03,,,,2,2,1.44,1.45,1.89
914,113,814,08BEA3478_05,08BEA3478,8/9/2005 0:00:00,12/30/1899 13:45:00,08BEA3478_05,,,,1,3,3.02,2.62,2.66
914,113,814,08BEA3478_05,08BEA3478,8/9/2005 0:00:00,12/30/1899 13:45:00,08BEA3478_05,,,,2,3,1.94,2.07,2.09
914,113,814,08BEA3478_05,08BEA3478,8/9/2005 0:00:00,12/30/1899 13:45:00,08BEA3478_05,,,,3,3,2.07,2.56,3.05
85,113,85,08BEA3478_06,08BEA3478,8/30/2006 0:00:00,12/30/1899 9:50:00,08BEA3478_06,37,,3,1,4,2.78,2.92,3.32
85,113,85,08BEA3478_06,08BEA3478,8/30/2006 0:00:00,12/30/1899 9:50:00,08BEA3478_06,37,,3,2,5,3.55,2.74,3.24
85,113,85,08BEA3478_06,08BEA3478,8/30/2006 0:00:00,12/30/1899 9:50:00,08BEA3478_06,37,,3,3,4,3.16,2.94,3.17
3704,113,2210,08BEA3478_07,08BEA3478,8/28/2007 0:00:00,12/30/1899 8:47:00,08BEA3478_07,83,,2,1,3,3.09,2.43,2.38
3704,113,2210,08BEA3478_07,08BEA3478,8/28/2007 0:00:00,12/30/1899 8:47:00,08BEA3478_07,83,,2,2,3,2.2,2.23,2.19
3704,113,2210,08BEA3478_07,08BEA3478,8/28/2007 0:00:00,12/30/1899 8:47:00,08BEA3478_07,83,,2,3,4,2.23,2.33,2.31
649,113,589,08BEA3478_08,08BEA3478,8/14/2008 0:00:00,12/30/1899 11:00:00,08BEA3478_08,,,,1,4,2.78,2.75,2.66
649,113,589,08BEA3478_08,08BEA3478,8/14/2008 0:00:00,12/30/1899 11:00:00,08BEA3478_08,,,,2,5,3.09,3.44,3.71
649,113,589,08BEA3478_08,08BEA3478,8/14/2008 0:00:00,12/30/1899 11:00:00,08BEA3478_08,,,,3,3,2.34,2.09,2.41
3978,113,2433,08BEA3478_09,08BEA3478,8/13/2009 0:00:00,,08BEA3478_09,121,,,1,5,2.2,2.3,2.5
3978,113,2433,08BEA3478_09,08BEA3478,8/13/2009 0:00:00,,08BEA3478_09,121,,,2,5,2.9,2.9,3.7
3978,113,2433,08BEA3478_09,08BEA3478,8/13/2009 0:00:00,,08BEA3478_09,121,,,3,5,3.2,3,3.3
4805,113,2989,08BEA3478_10,08BEA3478,8/25/2010 0:00:00,,08BEA3478_10,160,,2,1,7,7.8,8.66,5.79
4805,113,2989,08BEA3478_10,08BEA3478,8/25/2010 0:00:00,,08BEA3478_10,160,,2,2,5,2.78,3.18,2.39
4805,113,2989,08BEA3478_10,08BEA3478,8/25/2010 0:00:00,,08BEA3478_10,160,,2,3,6,5.14,5.08,5.05
5745,113,3676,08BEA3478_11,08BEA3478,8/25/2011 0:00:00,12/30/1899 10:30:00,08BEA3478_11,99,,2,1,3,1.32,1.51,1.77
5745,113,3676,08BEA3478_11,08BEA3478,8/25/2011 0:00:00,12/30/1899 10:30:00,08BEA3478_11,99,,2,2,3,2.25,2.41,2.2
5745,113,3676,08BEA3478_11,08BEA3478,8/25/2011 0:00:00,12/30/1899 10:30:00,08BEA3478_11,99,,2,3,3,2.83,3.19,3.03
3880,114,2339,08BEA3571_02,08BEA3571,9/11/2002 0:00:00,,08BEA3571_02,,,,1,3,2,3,3
3880,114,2339,08BEA3571_02,08BEA3571,9/11/2002 0:00:00,,08BEA3571_02,,,,2,3,2,2,2
3880,114,2339,08BEA3571_02,08BEA3571,9/11/2002 0:00:00,,08BEA3571_02,,,,3,3,2,1.25,1.25
3208,114,1954,08BEA3571_03,08BEA3571,8/7/2003 0:00:00,12/30/1899 12:40:00,08BEA3571_03,,,,1,3,1.58,1.47,1.52
3208,114,1954,08BEA3571_03,08BEA3571,8/7/2003 0:00:00,12/30/1899 12:40:00,08BEA3571_03,,,,2,3,1.89,1.97,2.19
3208,114,1954,08BEA3571_03,08BEA3571,8/7/2003 0:00:00,12/30/1899 12:40:00,08BEA3571_03,,,,3,3,2.43,2.13,1.97
935,114,834,08BEA3571_05,08BEA3571,8/15/2005 0:00:00,12/30/1899 10:30:00,08BEA3571_05,,,,1,10,9.17,13.99,9.54
935,114,834,08BEA3571_05,08BEA3571,8/15/2005 0:00:00,12/30/1899 10:30:00,08BEA3571_05,,,,2,9,4.17,3.91,4.46
935,114,834,08BEA3571_05,08BEA3571,8/15/2005 0:00:00,12/30/1899 10:30:00,08BEA3571_05,,,,3,8,4.82,6.82,4.7
86,114,86,08BEA3571_06,08BEA3571,8/22/2006 0:00:00,12/30/1899 12:20:00,08BEA3571_06,140,,3,1,10,4.5,4.97,4.65
86,114,86,08BEA3571_06,08BEA3571,8/22/2006 0:00:00,12/30/1899 12:20:00,08BEA3571_06,140,,3,2,10,6.03,4.83,3.49
3716,114,2211,08BEA3571_07,08BEA3571,8/7/2007 0:00:00,12/30/1899 12:35:00,08BEA3571_07,72,,3,1,16.42,11.31,10.94,8.96
3716,114,2211,08BEA3571_07,08BEA3571,8/7/2007 0:00:00,12/30/1899 12:35:00,08BEA3571_07,72,,3,2,17.5,13.03,14.62,10.91
3716,114,2211,08BEA3571_07,08BEA3571,8/7/2007 0:00:00,12/30/1899 12:35:00,08BEA3571_07,72,,3,3,11,6.07,5.47,6.5
721,114,660,08BEA3571_08,08BEA3571,8/11/2008 0:00:00,12/30/1899 14:53:00,08BEA3571_08,100,,3,1,15,6.93,7.27,7.05
721,114,660,08BEA3571_08,08BEA3571,8/11/2008 0:00:00,12/30/1899 14:53:00,08BEA3571_08,100,,3,2,12,4.41,4.64,4.71
3976,114,2431,08BEA3571_09,08BEA3571,8/12/2009 0:00:00,12/30/1899 11:30:00,08BEA3571_09,59,,3,1,10,7.6,8.1,8.6
3976,114,2431,08BEA3571_09,08BEA3571,8/12/2009 0:00:00,12/30/1899 11:30:00,08BEA3571_09,59,,3,2,10,5.4,5.5,4.7
3976,114,2431,08BEA3571_09,08BEA3571,8/12/2009 0:00:00,12/30/1899 11:30:00,08BEA3571_09,59,,3,3,10,3.5,3.7,3.5
4866,114,3048,08BEA3571_10,08BEA3571,8/10/2010 0:00:00,12/30/1899 10:10:00,08BEA3571_10,84,,3,1,5,3.03,5.83,3.09
4866,114,3048,08BEA3571_10,08BEA3571,8/10/2010 0:00:00,12/30/1899 10:10:00,08BEA3571_10,84,,3,2,5,2.33,2.46,2.97
4866,114,3048,08BEA3571_10,08BEA3571,8/10/2010 0:00:00,12/30/1899 10:10:00,08BEA3571_10,84,,3,3,5,3.87,4.04,2.63
5877,114,3784,08BEA3571_11,08BEA3571,8/3/2011 0:00:00,12/30/1899 14:00:00,08BEA3571_11,34,,3,1,7,4.25,4.13,5.89
5877,114,3784,08BEA3571_11,08BEA3571,8/3/2011 0:00:00,12/30/1899 14:00:00,08BEA3571_11,34,,3,2,7.5,4.25,4.13,5.89
3881,115,2340,08BEA3650_02,08BEA3650,8/8/2002 0:00:00,,08BEA3650_02,,,,1,,,,
3209,115,1955,08BEA3650_03,08BEA3650,8/12/2003 0:00:00,,08BEA3650_03,,,,1,3,1.58,1.23,1.53
3209,115,1955,08BEA3650_03,08BEA3650,8/12/2003 0:00:00,,08BEA3650_03,,,,2,3,1.43,1.54,1.39
3209,115,1955,08BEA3650_03,08BEA3650,8/12/2003 0:00:00,,08BEA3650_03,,,,3,3,2.67,3.83,4.47
640,115,575,08BEA3650_05,08BEA3650,8/22/2005 0:00:00,12/30/1899 9:20:00,08BEA3650_05,,,,1,5,2.07,2.43,2.09
225,115,87,08BEA3650_06,08BEA3650,8/17/2006 0:00:00,12/30/1899 9:15:00,08BEA3650_06,115,,2,1,10,4.03,4.45,4.65
3715,115,2212,08BEA3650_07,08BEA3650,8/16/2007 0:00:00,12/30/1899 9:00:00,08BEA3650_07,42,,3,1,6,7.09,5.49,5.68
716,115,653,08BEA3650_08,08BEA3650,8/3/2008 0:00:00,12/30/1899 14:00:00,08BEA3650_08,130,,2,1,22,8.06,8.4,8.53
4132,115,2569,08BEA3650_09,08BEA3650,8/19/2009 0:00:00,,08BEA3650_09,80,,2,2,10,5.4,4.8,5.1
4810,115,2994,08BEA3650_10,08BEA3650,8/25/2010 0:00:00,12/30/1899 11:08:00,08BEA3650_10,94,,3,1,12,5.81,5.9,5.41
5778,115,3707,08BEA3650_11,08BEA3650,9/7/2011 0:00:00,12/30/1899 12:00:00,08BEA3650_11,282,,3,1,5,2.84,3.47,2.69
5778,115,3707,08BEA3650_11,08BEA3650,9/7/2011 0:00:00,12/30/1899 12:00:00,08BEA3650_11,282,,3,2,5,2.25,1.78,2.12
5778,115,3707,08BEA3650_11,08BEA3650,9/7/2011 0:00:00,12/30/1899 12:00:00,08BEA3650_11,282,,3,3,5,1.33,2.05,1.66
3883,116,2341,08BEA3737_02,08BEA3737,8/29/2002 0:00:00,,08BEA3737_02,,,,1,3,2,2,2
3883,116,2341,08BEA3737_02,08BEA3737,8/29/2002 0:00:00,,08BEA3737_02,,,,2,3,2.5,2,2
3883,116,2341,08BEA3737_02,08BEA3737,8/29/2002 0:00:00,,08BEA3737_02,,,,3,3,2.5,2,2
3210,116,1956,08BEA3737_03,08BEA3737,8/6/2003 0:00:00,12/30/1899 13:15:00,08BEA3737_03,,,,1,3,2.45,2.53,3
3210,116,1956,08BEA3737_03,08BEA3737,8/6/2003 0:00:00,12/30/1899 13:15:00,08BEA3737_03,,,,2,3,4.45,5.14,4.13
3210,116,1956,08BEA3737_03,08BEA3737,8/6/2003 0:00:00,12/30/1899 13:15:00,08BEA3737_03,,,,3,3,3.04,2.6,2.82
915,116,815,08BEA3737_05,08BEA3737,8/9/2005 0:00:00,12/30/1899 11:45:00,08BEA3737_05,,,,1,3,2.29,2.67,1.87
915,116,815,08BEA3737_05,08BEA3737,8/9/2005 0:00:00,12/30/1899 11:45:00,08BEA3737_05,,,,2,3,3.94,3.25,2.84
915,116,815,08BEA3737_05,08BEA3737,8/9/2005 0:00:00,12/30/1899 11:45:00,08BEA3737_05,,,,3,3,2.97,2.8,3.07
88,116,88,08BEA3737_06,08BEA3737,8/17/2006 0:00:00,12/30/1899 11:00:00,08BEA3737_06,86,,2,1,5,3.99,3.58,4.37
88,116,88,08BEA3737_06,08BEA3737,8/17/2006 0:00:00,12/30/1899 11:00:00,08BEA3737_06,86,,2,2,5,2.86,2.77,2.92
88,116,88,08BEA3737_06,08BEA3737,8/17/2006 0:00:00,12/30/1899 11:00:00,08BEA3737_06,86,,2,3,5,2.96,3.76,3
3709,116,2213,08BEA3737_07,08BEA3737,8/8/2007 0:00:00,,08BEA3737_07,86,,3,1,5,4.88,4.34,4.16
3709,116,2213,08BEA3737_07,08BEA3737,8/8/2007 0:00:00,,08BEA3737_07,86,,3,2,7,5.06,5.12,4.97
3709,116,2213,08BEA3737_07,08BEA3737,8/8/2007 0:00:00,,08BEA3737_07,86,,3,3,10,4.97,5.15,4.93
709,116,647,08BEA3737_08,08BEA3737,8/13/2008 0:00:00,12/30/1899 12:26:00,08BEA3737_08,91,,2,1,3,3.03,3.4,3.31
709,116,647,08BEA3737_08,08BEA3737,8/13/2008 0:00:00,12/30/1899 12:26:00,08BEA3737_08,91,,2,2,8,5.16,5.25,5.25
709,116,647,08BEA3737_08,08BEA3737,8/13/2008 0:00:00,12/30/1899 12:26:00,08BEA3737_08,91,,2,3,9,8.78,7.46,8.06
4047,116,2496,08BEA3737_09,08BEA3737,8/6/2009 0:00:00,12/30/1899 13:10:00,08BEA3737_09,137,,3,1,10,4.78,3.94,3.85
4047,116,2496,08BEA3737_09,08BEA3737,8/6/2009 0:00:00,12/30/1899 13:10:00,08BEA3737_09,137,,3,2,10,3.6,3.59,3.63
