Subkingdom,Phylum,Subphylum,Superclass,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Custom Subfamily,Tribe,Genus Group,Subtribe,Genus,Species Group,Subgenus,Species,Subspecies,Taxon Name,TSN,Taxonomic Rank,Excluded
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Lepidoptera,,,Bombycoidea,Bombycidae,,,,,,,,,,,Bombycidae,117538,Family,TRUE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Lepidoptera,,,Gelechioidea,Coleophoridae,,,,,,,,,,,Coleophoridae,118725,Family,TRUE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Lepidoptera,,,Geometroidea,Geometridae,,,,,,,,,,,Geometridae,117556,Family,TRUE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Lepidoptera,,,Noctuoidea,Noctuidae,,,,,,,,,,,Noctuidae,117318,Family,TRUE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Lepidoptera,,,Papilionoidea,Nymphalidae,,,,,,,,,,,Nymphalidae,117276,Family,TRUE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Lepidoptera,,,Papilionoidea,Papilionidae,,,,,,,,,,,Papilionidae,117268,Family,TRUE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Lepidoptera,,,Papilionoidea,Pieridae,,,,,,,,,,,Pieridae,117267,Family,TRUE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Lepidoptera,,,Pyraloidea,Crambidae,,,,,,,,,,,Crambidae,693963,Family,TRUE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Lepidoptera,,,Pyraloidea,Crambidae,Nymphulinae,,Argyractini,,,Petrophila,,,,,Petrophila,117682,Genus,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Lepidoptera,,,Pyraloidea,Crambidae,Nymphulinae,,Nymphulini,,,Parapoynx,,,,,Parapoynx,117714,Genus,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Lepidoptera,,,Pyraloidea,Pyralidae,,,,,,,,,,,Pyralidae,117641,Family,TRUE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Lepidoptera,,,Tortricoidea,Tortricidae,,,,,,,,,,,Tortricidae,117856,Family,TRUE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Orthoptera,,,,,,,,,,,,,,,Orthoptera,102160,Order,TRUE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Orthoptera,Caelifera,Acrididea,Acridoidea,Acrididae,,,,,,,,,,,Acrididae,102195,Family,TRUE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Orthoptera,Caelifera,Acrididea,Tetrigoidea,Tetrigidae,,,,,,,,,,,Tetrigidae,102162,Family,TRUE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Orthoptera,Ensifera,Tettigoniidea,Tettigonioidea,Tettigoniidae,,,,,,,,,,,Tettigoniidae,102232,Family,TRUE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,Neuropterida,Neuroptera,,,,,,,,,,,,,,,Neuroptera,114999,Order,TRUE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,Neuropterida,Neuroptera,Hemerobiiformia,,,Chrysopidae,,,,,,,,,,,Chrysopidae,115081,Family,TRUE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,Neuropterida,Neuroptera,Hemerobiiformia,,,Hemerobiidae,,,,,,,,,,,Hemerobiidae,115080,Family,TRUE
,Mollusca,,,Gastropoda,,,,Basommatophora,,,,Carychiidae,,,,,,Carychium,,,occidentale,,Carychium occidentale,76752,Species,TRUE
,Mollusca,,,Gastropoda,,,,Stylommatophora,,,,Arionidae,,,,,,,,,,,Arionidae,77067,Family,TRUE
,Mollusca,,,Gastropoda,,,,Stylommatophora,,,,Cionellidae,,,,,,Cionella,,,,,Cionella,566959,Genus,TRUE
,Mollusca,,,Gastropoda,,,,Stylommatophora,,,,Pupillidae,,,,,,Columella,,,,,Columella,76770,Genus,TRUE
